model,dataset,n,auroc,auprc,mcc,recall,specificity,mean_gate_alpha_gnomad,mean_gate_entropy,mean_gate_alpha_abraom,mean_molecular_probability,mean_regional_discount,mean_gate_alpha_scrambled,gate_alpha_abraom,gate_entropy
M0,br_only,504,0.7446061947826814,0.896383573527392,0.2791131774799588,0.920424403183024,0.2992125984251969,,,,,,,,
M0,br_any,564,0.7434657002683807,0.9005321438802714,0.2631903296416165,0.9086651053864168,0.3065693430656934,,,,,,,,
M0,regional_benchmark_any,3111,0.8653920696810088,0.8919750306860393,0.5528320703692552,0.9124579124579124,0.6034612490594432,,,,,,,,
M0,abraom_common_benign,12099,,,0.0,0.0,0.8027936193073808,,,,,,,,
M0,abraom_pathogenic_present,163,,1.0,0.0,0.4171779141104294,0.0,,,,,,,,
M0,abraom_pathogenic_common,60,,1.0,0.0,0.3666666666666666,0.0,,,,,,,,
M0,global_nonbr_no_abraom,1989,0.8494389330469362,0.9194655212670227,0.5122049585015879,0.9176557863501484,0.5444617784711389,,,,,,,,
M2_gnomad_only,br_only,504,0.7616700432339857,0.9069553213946804,0.308692783344587,0.843501326259947,0.4566929133858268,1.0,0.0,,,,,,0.0
M2_gnomad_only,br_any,564,0.7578420143934084,0.9091749562171124,0.3086792055401376,0.8384074941451991,0.4671532846715328,1.0,0.0,,,,,,0.0
M2_gnomad_only,regional_benchmark_any,3111,0.8768396277801845,0.9063581409407948,0.5768858851568786,0.8479236812570146,0.7223476297968398,1.0,0.0,,,,,,0.0
M2_gnomad_only,abraom_common_benign,12099,,,0.0,0.0,0.8839573518472601,1.0,0.0,,,,,,0.0
M2_gnomad_only,abraom_pathogenic_present,163,,1.0,0.0,0.3190184049079754,0.0,1.0,0.0,,,,,,0.0
M2_gnomad_only,abraom_pathogenic_common,60,,1.0,0.0,0.25,0.0,1.0,0.0,,,,,,0.0
M2_gnomad_only,global_nonbr_no_abraom,1989,0.8610190401681349,0.9312529983223508,0.5367919891656469,0.8545994065281899,0.6801872074882995,1.0,0.0,,,,,,0.0
M4_dynamic_gated,br_only,504,0.7589757513732536,0.903986705022172,0.3185934996372663,0.8753315649867374,0.4173228346456692,0.4992191508885414,0.6921234042161987,0.5007865336087961,,,,0.5007865336087961,0.6921234042161987
M4_dynamic_gated,br_any,564,0.7554659054000923,0.9066442226368728,0.3187957902648805,0.8688524590163934,0.4306569343065693,0.4992143010839502,0.6921236740147814,0.5007904934439253,,,,0.5007904934439253,0.6921236740147814
M4_dynamic_gated,regional_benchmark_any,3111,0.8772964998197001,0.9058895083581772,0.587148323472843,0.8709315375982043,0.7035364936042137,0.4992400216293733,0.6921219619015565,0.5007663273477968,,,,0.5007663273477968,0.6921219619015565
M4_dynamic_gated,abraom_common_benign,12099,,,0.0,0.0,0.8694106950987684,0.4993218185537284,0.6921253377509045,0.5006823226857534,,,,0.5006823226857534,0.6921253377509045
M4_dynamic_gated,abraom_pathogenic_present,163,,1.0,0.0,0.3435582822085889,0.0,0.4993408781253487,0.6921198163295816,0.5006599033171414,,,,0.5006599033171414,0.6921198163295816
M4_dynamic_gated,abraom_pathogenic_common,60,,1.0,0.0,0.2833333333333333,0.0,0.499400387207667,0.6921132624149322,0.5006016790866852,,,,0.5006016790866852,0.6921132624149322
M4_dynamic_gated,global_nonbr_no_abraom,1989,0.8619252188485166,0.9311270247107156,0.5474008583293484,0.8753709198813057,0.6599063962558502,0.4992187096282667,0.6921203106177278,0.5007864768448759,,,,0.5007864768448759,0.6921203106177278
M5_dynamic_gated,br_only,504,0.8782764886484681,0.9491636658410368,0.6661711081340419,0.9761273209549072,0.5984251968503937,0.4975110032255687,0.6913297997107581,0.5025617706160697,0.7238460809051518,0.3014477926587302,,0.5025617706160697,0.6913297997107581
M5_dynamic_gated,br_any,564,0.8758269372126019,0.9501246294262023,0.6512149296326203,0.9672131147540984,0.6058394160583942,0.4975263985230567,0.6913322882449373,0.5025423885659969,0.7223500980341688,0.3021300836657801,,0.5025423885659969,0.6913322882449373
M5_dynamic_gated,regional_benchmark_any,3111,0.9131132409286408,0.9271061736249566,0.6466960922185009,0.9719416386083052,0.6139954853273137,0.4975231951913892,0.6913323816820879,0.5025545799322199,0.66267032392517,0.349338787769206,,0.5025545799322199,0.6913323816820879
M5_dynamic_gated,abraom_common_benign,12099,,,0.0,0.0,0.9978510620712456,0.4975128890744063,0.6913265825618504,0.5025671801494955,0.2647582490475318,0.763559843530457,,0.5025671801494955,0.6913265825618504
M5_dynamic_gated,abraom_pathogenic_present,163,,1.0,0.0,0.0368098159509202,0.0,0.4975800883550585,0.6913390430204708,0.5024900893492201,0.4087068613138667,0.486268213190184,,0.5024900893492201,0.6913390430204708
M5_dynamic_gated,abraom_pathogenic_common,60,,1.0,0.0,0.0,0.0,0.4975968261559804,0.6913330207268397,0.5024920443693797,0.3547579345603784,0.5745768229166667,,0.5024920443693797,0.6913330207268397
M5_dynamic_gated,global_nonbr_no_abraom,1989,0.8542510543151697,0.9232710919648146,0.399788373636363,0.978486646884273,0.2854914196567862,0.4975242890144126,0.6913346861282624,0.5025531738292278,0.7533545921261194,0.2529316514265963,,0.5025531738292278,0.6913346861282624
