model,dataset,n,auroc,auprc,mcc,recall,specificity
M0,br_only,504,0.7446061947826814,0.896383573527392,0.27911317747995884,0.9204244031830239,0.2992125984251969
M0,br_any,564,0.7434657002683807,0.9005321438802714,0.2631903296416165,0.9086651053864169,0.30656934306569344
M0,regional_benchmark_any,3111,0.8653920696810088,0.8919750306860393,0.5528320703692552,0.9124579124579124,0.6034612490594432
M0,abraom_common_benign,12099,,,0.0,0.0,0.8027936193073808
M0,abraom_pathogenic_present,163,,1.0,0.0,0.4171779141104294,0.0
M0,abraom_pathogenic_common,60,,1.0,0.0,0.36666666666666664,0.0
M0,global_nonbr_no_abraom,1989,0.8494389330469362,0.9194655212670229,0.5122049585015879,0.9176557863501483,0.5444617784711389
M2_gnomad_only,br_only,504,0.7616700432339857,0.9069553213946804,0.30869278334458705,0.843501326259947,0.4566929133858268
M2_gnomad_only,br_any,564,0.7578420143934084,0.9091749562171125,0.3086792055401376,0.8384074941451991,0.46715328467153283
M2_gnomad_only,regional_benchmark_any,3111,0.8768396277801845,0.9063581409407948,0.5768858851568786,0.8479236812570146,0.7223476297968398
M2_gnomad_only,abraom_common_benign,12099,,,0.0,0.0,0.8839573518472601
M2_gnomad_only,abraom_pathogenic_present,163,,1.0,0.0,0.31901840490797545,0.0
M2_gnomad_only,abraom_pathogenic_common,60,,1.0,0.0,0.25,0.0
M2_gnomad_only,global_nonbr_no_abraom,1989,0.8610190401681349,0.9312529983223508,0.5367919891656469,0.8545994065281899,0.6801872074882995
M4_dynamic_gated,br_only,504,0.7589757513732536,0.903986705022172,0.31859349963726635,0.8753315649867374,0.41732283464566927
M4_dynamic_gated,br_any,564,0.7554659054000923,0.9066442226368727,0.31879579026488053,0.8688524590163934,0.4306569343065693
M4_dynamic_gated,regional_benchmark_any,3111,0.8772964998197001,0.9058895083581773,0.587148323472843,0.8709315375982043,0.7035364936042137
M4_dynamic_gated,abraom_common_benign,12099,,,0.0,0.0,0.8694106950987684
M4_dynamic_gated,abraom_pathogenic_present,163,,1.0,0.0,0.34355828220858897,0.0
M4_dynamic_gated,abraom_pathogenic_common,60,,1.0,0.0,0.2833333333333333,0.0
M4_dynamic_gated,global_nonbr_no_abraom,1989,0.8619252188485166,0.9311270247107155,0.5474008583293484,0.8753709198813057,0.6599063962558502
M5_dynamic_gated,br_only,504,0.8782764886484681,0.9491636658410367,0.6661711081340419,0.9761273209549072,0.5984251968503937
M5_dynamic_gated,br_any,564,0.8758269372126019,0.9501246294262023,0.6512149296326203,0.9672131147540983,0.6058394160583942
M5_dynamic_gated,regional_benchmark_any,3111,0.9131132409286409,0.9271061736249566,0.6466960922185009,0.9719416386083053,0.6139954853273137
M5_dynamic_gated,abraom_common_benign,12099,,,0.0,0.0,0.9978510620712455
M5_dynamic_gated,abraom_pathogenic_present,163,,1.0,0.0,0.03680981595092025,0.0
M5_dynamic_gated,abraom_pathogenic_common,60,,1.0,0.0,0.0,0.0
M5_dynamic_gated,global_nonbr_no_abraom,1989,0.8542510543151697,0.9232710919648146,0.399788373636363,0.978486646884273,0.28549141965678626
M5_v2_calibrated,br_only,504,0.8857327847281689,0.9523486247226898,0.6051392365837596,0.9946949602122016,0.4566929133858268
M5_v2_calibrated,br_any,564,0.8832287731414212,0.953365430635296,0.6041170570342913,0.9929742388758782,0.4598540145985401
M5_v2_calibrated,regional_benchmark_any,3111,0.9173310734635038,0.9321385545879524,0.5608387781748854,0.9943883277216612,0.4582392776523702
M5_v2_calibrated,abraom_common_benign,12099,,,0.0,0.0,0.9585089676832796
M5_v2_calibrated,abraom_pathogenic_present,163,,1.0,0.0,0.4355828220858895,0.0
M5_v2_calibrated,abraom_pathogenic_common,60,,1.0,0.0,0.2,0.0
M5_v2_calibrated,global_nonbr_no_abraom,1989,0.8609195109644148,0.9287475826965128,0.50006754101164,0.6906528189910979,0.84399375975039
