dataset,model,group_column,group_value,n,errors,error_rate,mean_af_abraom,mean_score
abraom_common_benign,M0,GeneSymbol,ABCC1,5,2,0.4,0.01383460033684969,0.42777121663093565
abraom_common_benign,M0,GeneSymbol,ABCC11,2,1,0.5,0.10076849907636642,0.5409751981496811
abraom_common_benign,M0,GeneSymbol,ABCD4,76,12,0.15789473684210525,0.11982375383377075,0.26491539190082175
abraom_common_benign,M0,GeneSymbol,ABHD5,26,5,0.19230769230769232,0.08010919392108917,0.3333851376978251
abraom_common_benign,M0,GeneSymbol,ACADSB,40,6,0.15,0.26054686307907104,0.2928835341706872
abraom_common_benign,M0,GeneSymbol,ACAT1,28,5,0.17857142857142858,0.2880208194255829,0.23465808614024095
abraom_common_benign,M0,GeneSymbol,ACP5,11,6,0.5454545454545454,0.14845353364944458,0.41232461550019006
abraom_common_benign,M0,GeneSymbol,ACSS1,1,1,1.0,0.02006799913942814,0.5380124449729919
abraom_common_benign,M0,GeneSymbol,ADAM17,41,1,0.024390243902439025,0.33315110206604004,0.21278783242876936
abraom_common_benign,M0,GeneSymbol,ADAM8,1,1,1.0,0.018787000328302383,0.7098243832588196
abraom_common_benign,M0,GeneSymbol,ADAMTS10,44,8,0.18181818181818182,0.12404150515794754,0.262550623240796
abraom_common_benign,M0,GeneSymbol,ADAMTS15,2,1,0.5,0.014517500065267086,0.43953824043273926
abraom_common_benign,M0,GeneSymbol,ADAMTS3,5,3,0.6,0.3409906029701233,0.45361104011535647
abraom_common_benign,M0,GeneSymbol,ADAMTS9,74,10,0.13513513513513514,0.25585755705833435,0.23009124478778323
abraom_common_benign,M0,GeneSymbol,ADAMTSL3,73,13,0.1780821917808219,0.24390068650245667,0.26377615679616795
abraom_common_benign,M0,GeneSymbol,ADCY9,3,1,0.3333333333333333,0.011671334505081177,0.47212477525075275
abraom_common_benign,M0,GeneSymbol,ADGRE1,2,2,1.0,0.01216949988156557,0.7218309044837952
abraom_common_benign,M0,GeneSymbol,ADGRV1,245,51,0.20816326530612245,0.22892138361930847,0.27534814756743764
