threshold,br_only_mcc,br_only_recall,br_only_specificity,br_only_fp,br_only_fn,abraom_common_benign_mcc,abraom_common_benign_recall,abraom_common_benign_specificity,abraom_common_benign_fp,abraom_common_benign_fn,abraom_pathogenic_present_mcc,abraom_pathogenic_present_recall,abraom_pathogenic_present_specificity,abraom_pathogenic_present_fp,abraom_pathogenic_present_fn,global_nonbr_no_abraom_mcc,global_nonbr_no_abraom_recall,global_nonbr_no_abraom_specificity,global_nonbr_no_abraom_fp,global_nonbr_no_abraom_fn,discount_scale,constraint_gap
0.425,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9669394164807009,400,0,0.0,0.36809815950920244,,0,103,0.16415155797717015,0.9992581602373887,0.0421216848673947,614,1,0.0,0.2958484420228299
0.325,0.6051392365837596,0.9946949602122016,0.4566929133858268,69,2,0.0,,0.974295396313745,311,0,0.0,0.36809815950920244,,0,103,0.1608205203554191,0.9992581602373887,0.0405616224648986,615,1,1.05,0.2991794796445809
0.32,0.6051392365837596,0.9946949602122016,0.4566929133858268,69,2,0.0,,0.9741300933961484,313,0,0.0,0.36809815950920244,,0,103,0.1608205203554191,0.9992581602373887,0.0405616224648986,615,1,1.1,0.2991794796445809
0.315,0.6051392365837596,0.9946949602122016,0.4566929133858268,69,2,0.0,,0.9741300933961484,313,0,0.0,0.36809815950920244,,0,103,0.1608205203554191,0.9992581602373887,0.0405616224648986,615,1,1.15,0.2991794796445809
0.42,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9628894949995868,449,0,0.0,0.38650306748466257,,0,100,0.16026558562794638,1.0,0.0374414976599064,617,0,0.0,0.2997344143720536
0.42,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9700801719150343,362,0,0.0,0.3619631901840491,,0,104,0.17063017367431324,0.9992581602373887,0.0452418096723869,612,1,0.1,0.29979927417844743
0.415,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9704107777502273,358,0,0.0,0.3619631901840491,,0,104,0.17063017367431324,0.9992581602373887,0.0452418096723869,612,1,0.15,0.29979927417844743
0.41,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9704934292090256,357,0,0.0,0.3619631901840491,,0,104,0.17063017367431324,0.9992581602373887,0.0452418096723869,612,1,0.2,0.29979927417844743
0.405,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9708240350442185,353,0,0.0,0.3619631901840491,,0,104,0.17063017367431324,0.9992581602373887,0.0452418096723869,612,1,0.25,0.29979927417844743
0.31,0.6051392365837596,0.9946949602122016,0.4566929133858268,69,2,0.0,,0.9740474419373502,314,0,0.0,0.36809815950920244,,0,103,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,1.2,0.3025767305405993
0.305,0.6051392365837596,0.9946949602122016,0.4566929133858268,69,2,0.0,,0.9740474419373502,314,0,0.0,0.36809815950920244,,0,103,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,1.25,0.3025767305405993
0.42,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9672700223158939,396,0,0.0,0.36809815950920244,,0,103,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,0.05,0.3025767305405993
0.415,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9673526737746921,395,0,0.0,0.36809815950920244,,0,103,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,0.1,0.3025767305405993
0.41,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9676006281510868,392,0,0.0,0.36809815950920244,,0,103,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,0.15,0.3025767305405993
0.405,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9680965369038763,386,0,0.0,0.36809815950920244,,0,103,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,0.2,0.3025767305405993
0.4,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9684271427390694,382,0,0.0,0.36809815950920244,,0,103,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,0.25,0.3025767305405993
0.395,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9690883544094553,374,0,0.0,0.36809815950920244,,0,103,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,0.3,0.3025767305405993
0.39,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9693363087858501,371,0,0.0,0.36809815950920244,,0,103,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,0.35,0.3025767305405993
0.385,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9695016117034466,369,0,0.0,0.36809815950920244,,0,103,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,0.4,0.3025767305405993
0.375,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9699148689974378,364,0,0.0,0.36809815950920244,,0,103,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,0.5,0.3025767305405993
0.37,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9699975204562361,363,0,0.0,0.36809815950920244,,0,103,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,0.55,0.3025767305405993
0.43,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9692536573270518,372,0,0.0,0.3619631901840491,,0,104,0.1674202672541435,0.9992581602373887,0.0436817472698908,613,1,0.0,0.3030091805986172
0.425,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9698322175386396,365,0,0.0,0.3619631901840491,,0,104,0.1674202672541435,0.9992581602373887,0.0436817472698908,613,1,0.05,0.3030091805986172
0.415,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9635507066699728,441,0,0.0,0.38650306748466257,,0,100,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.05,0.30604449213206353
0.41,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9638813125051657,437,0,0.0,0.3803680981595092,,0,101,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.1,0.30604449213206353
0.405,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9641292668815604,434,0,0.0,0.3803680981595092,,0,101,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.15,0.30604449213206353
0.4,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9645425241755518,429,0,0.0,0.3803680981595092,,0,101,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.2,0.30604449213206353
0.395,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9651210843871394,422,0,0.0,0.38650306748466257,,0,100,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.25,0.30604449213206353
0.39,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9653690387635342,419,0,0.0,0.3803680981595092,,0,101,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.3,0.30604449213206353
0.355,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.970658732126622,355,0,0.0,0.36809815950920244,,0,103,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.7,0.30604449213206353
0.35,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9708240350442185,353,0,0.0,0.37423312883435583,,0,102,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.75,0.30604449213206353
0.345,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.970658732126622,355,0,0.0,0.37423312883435583,,0,102,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.8,0.30604449213206353
0.34,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.970658732126622,355,0,0.0,0.37423312883435583,,0,102,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.85,0.30604449213206353
0.335,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9707413835854203,354,0,0.0,0.37423312883435583,,0,102,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.9,0.30604449213206353
0.31,0.6051392365837596,0.9946949602122016,0.4566929133858268,69,2,0.0,,0.9718158525497975,341,0,0.0,0.37423312883435583,,0,102,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,1.15,0.3095875378208044
0.305,0.6051392365837596,0.9946949602122016,0.4566929133858268,69,2,0.0,,0.971650549632201,343,0,0.0,0.37423312883435583,,0,102,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,1.2,0.3095875378208044
0.3,0.6051392365837596,0.9946949602122016,0.4566929133858268,69,2,0.0,,0.971319943797008,347,0,0.0,0.37423312883435583,,0,102,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,1.25,0.3095875378208044
0.385,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9658649475163237,413,0,0.0,0.3803680981595092,,0,101,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,0.35,0.3095875378208044
0.38,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9660302504339202,411,0,0.0,0.3803680981595092,,0,101,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,0.4,0.3095875378208044
0.375,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9661129018927184,410,0,0.0,0.38650306748466257,,0,100,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,0.45,0.3095875378208044
0.37,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9668567650219027,401,0,0.0,0.38650306748466257,,0,100,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,0.5,0.3095875378208044
0.365,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9668567650219027,401,0,0.0,0.38650306748466257,,0,100,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,0.55,0.3095875378208044
0.36,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9673526737746921,395,0,0.0,0.38650306748466257,,0,100,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,0.6,0.3095875378208044
0.355,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9676832796098851,391,0,0.0,0.3803680981595092,,0,101,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,0.65,0.3095875378208044
0.35,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9679312339862799,388,0,0.0,0.3803680981595092,,0,101,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,0.7,0.3095875378208044
0.345,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9680965369038763,386,0,0.0,0.3803680981595092,,0,101,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,0.75,0.3095875378208044
0.34,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9680138854450782,387,0,0.0,0.3803680981595092,,0,101,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,0.8,0.3095875378208044
0.335,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9680965369038763,386,0,0.0,0.3803680981595092,,0,101,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,0.85,0.3095875378208044
0.33,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9709893379618151,351,0,0.0,0.37423312883435583,,0,102,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,0.95,0.3095875378208044
0.325,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9711546408794115,349,0,0.0,0.37423312883435583,,0,102,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,1.0,0.3095875378208044
0.32,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9715678981734027,344,0,0.0,0.37423312883435583,,0,102,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,1.05,0.3095875378208044
0.315,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.971650549632201,343,0,0.0,0.37423312883435583,,0,102,0.1504124621791956,0.9992581602373887,0.0358814352574103,618,1,1.1,0.3095875378208044
0.415,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9601619968592445,482,0,0.0,0.4049079754601227,,0,97,0.1498004202241065,1.0,0.0327613104524181,620,0,0.0,0.3101995797758935
0.41,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9605752541532359,477,0,0.0,0.4049079754601227,,0,97,0.1498004202241065,1.0,0.0327613104524181,620,0,0.05,0.3101995797758935
0.405,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9612364658236218,469,0,0.0,0.4049079754601227,,0,97,0.1498004202241065,1.0,0.0327613104524181,620,0,0.1,0.3101995797758935
0.4,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9617323745764113,463,0,0.0,0.4049079754601227,,0,97,0.1498004202241065,1.0,0.0327613104524181,620,0,0.15,0.3101995797758935
0.395,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.961980328952806,460,0,0.0,0.4049079754601227,,0,97,0.1498004202241065,1.0,0.0327613104524181,620,0,0.2,0.3101995797758935
0.39,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9623935862467973,455,0,0.0,0.4049079754601227,,0,97,0.1498004202241065,1.0,0.0327613104524181,620,0,0.25,0.3101995797758935
0.385,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9627241920819902,451,0,0.0,0.4049079754601227,,0,97,0.1498004202241065,1.0,0.0327613104524181,620,0,0.3,0.3101995797758935
