dataset,contrast,base_model,compare_model,discordance_status,group_column,group_value,n
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,label,0,5
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,label,1,14
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,variant_type,SNV,5
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,variant_type,SNV,14
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0,0.001]",1
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.001,0.005]",1
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,absent,3
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,absent,14
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,af_abraom_bin,>1e-2,2
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,af_abraom_bin,absent,3
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,af_abraom_bin,absent,14
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,label,0,5
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,label,1,12
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,variant_type,SNV,5
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,variant_type,SNV,12
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0,0.001]",1
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.001,0.005]",1
