dataset,contrast,side,base_model,compare_model,n,path
br_only,real_abraom_vs_scrambled,base_only_correct,M7_dynamic_scrambled,M4_dynamic_gated,5,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/br_only.real_abraom_vs_scrambled.base_only_correct.csv
br_only,real_abraom_vs_scrambled,compare_only_correct,M7_dynamic_scrambled,M4_dynamic_gated,14,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/br_only.real_abraom_vs_scrambled.compare_only_correct.csv
br_only,real_abraom_vs_gnomad_only,base_only_correct,M2_gnomad_only,M4_dynamic_gated,5,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/br_only.real_abraom_vs_gnomad_only.base_only_correct.csv
br_only,real_abraom_vs_gnomad_only,compare_only_correct,M2_gnomad_only,M4_dynamic_gated,12,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/br_only.real_abraom_vs_gnomad_only.compare_only_correct.csv
br_only,scrambled_vs_gnomad_only,base_only_correct,M2_gnomad_only,M7_dynamic_scrambled,5,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/br_only.scrambled_vs_gnomad_only.base_only_correct.csv
br_only,scrambled_vs_gnomad_only,compare_only_correct,M2_gnomad_only,M7_dynamic_scrambled,3,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/br_only.scrambled_vs_gnomad_only.compare_only_correct.csv
br_only,m5_v2_vs_scrambled,base_only_correct,M7_dynamic_scrambled,M5_v2_calibrated,26,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/br_only.m5_v2_vs_scrambled.base_only_correct.csv
br_only,m5_v2_vs_scrambled,compare_only_correct,M7_dynamic_scrambled,M5_v2_calibrated,85,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/br_only.m5_v2_vs_scrambled.compare_only_correct.csv
br_only,m5_v2_vs_m4_real,base_only_correct,M4_dynamic_gated,M5_v2_calibrated,23,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/br_only.m5_v2_vs_m4_real.base_only_correct.csv
br_only,m5_v2_vs_m4_real,compare_only_correct,M4_dynamic_gated,M5_v2_calibrated,73,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/br_only.m5_v2_vs_m4_real.compare_only_correct.csv
abraom_common_benign,real_abraom_vs_scrambled,base_only_correct,M7_dynamic_scrambled,M4_dynamic_gated,242,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/abraom_common_benign.real_abraom_vs_scrambled.base_only_correct.csv
abraom_common_benign,real_abraom_vs_scrambled,compare_only_correct,M7_dynamic_scrambled,M4_dynamic_gated,7,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/abraom_common_benign.real_abraom_vs_scrambled.compare_only_correct.csv
