Metric,run_id,model_name,best_step,best_step_time,training_tokens,running_time,species,datasets,assay_type,track_name_clean
0.45301491815864475,beat-v7-20k-aggressive-moderate-lr125-llrd085-seed0,Lumina beat-v7 20k aggressive moderate LR1.25e-4 LLRD0.85,19000.0,0 days 06:37:54.455832,20900216832.0,25089.691698925002,human,ENCSR046BCI_M,PRO-cap,ENCSR046BCI_M
0.41577555793295495,beat-v7-20k-aggressive-moderate-lr125-llrd085-seed0,Lumina beat-v7 20k aggressive moderate LR1.25e-4 LLRD0.85,19000.0,0 days 06:37:54.455832,20900216832.0,25089.691698925002,human,ENCSR046BCI_P,PRO-cap,ENCSR046BCI_P
0.48970043491135595,beat-v7-20k-aggressive-moderate-lr125-llrd085-seed0,Lumina beat-v7 20k aggressive moderate LR1.25e-4 LLRD0.85,19000.0,0 days 06:37:54.455832,20900216832.0,25089.691698925002,human,ENCSR100LIJ_M,PRO-cap,ENCSR100LIJ_M
0.4825230725951993,beat-v7-20k-aggressive-moderate-lr125-llrd085-seed0,Lumina beat-v7 20k aggressive moderate LR1.25e-4 LLRD0.85,19000.0,0 days 06:37:54.455832,20900216832.0,25089.691698925002,human,ENCSR100LIJ_P,PRO-cap,ENCSR100LIJ_P
0.2819882213601656,beat-v7-20k-aggressive-moderate-lr125-llrd085-seed0,Lumina beat-v7 20k aggressive moderate LR1.25e-4 LLRD0.85,19000.0,0 days 06:37:54.455832,20900216832.0,25089.691698925002,human,ENCSR114HGS_M,PRO-cap,ENCSR114HGS_M
0.31639269077384957,beat-v7-20k-aggressive-moderate-lr125-llrd085-seed0,Lumina beat-v7 20k aggressive moderate LR1.25e-4 LLRD0.85,19000.0,0 days 06:37:54.455832,20900216832.0,25089.691698925002,human,ENCSR114HGS_P,PRO-cap,ENCSR114HGS_P
0.45614608080974967,beat-v7-20k-aggressive-moderate-lr125-llrd085-seed0,Lumina beat-v7 20k aggressive moderate LR1.25e-4 LLRD0.85,19000.0,0 days 06:37:54.455832,20900216832.0,25089.691698925002,human,ENCSR154HRN_M,eCLIP,ENCSR154HRN_M
0.47348571458112004,beat-v7-20k-aggressive-moderate-lr125-llrd085-seed0,Lumina beat-v7 20k aggressive moderate LR1.25e-4 LLRD0.85,19000.0,0 days 06:37:54.455832,20900216832.0,25089.691698925002,human,ENCSR154HRN_P,eCLIP,ENCSR154HRN_P
0.5558863416876446,beat-v7-20k-aggressive-moderate-lr125-llrd085-seed0,Lumina beat-v7 20k aggressive moderate LR1.25e-4 LLRD0.85,19000.0,0 days 06:37:54.455832,20900216832.0,25089.691698925002,human,ENCSR249ROI_M,eCLIP,ENCSR249ROI_M
0.5437320165515366,beat-v7-20k-aggressive-moderate-lr125-llrd085-seed0,Lumina beat-v7 20k aggressive moderate LR1.25e-4 LLRD0.85,19000.0,0 days 06:37:54.455832,20900216832.0,25089.691698925002,human,ENCSR249ROI_P,eCLIP,ENCSR249ROI_P
