Metric,run_id,model_name,best_step,best_step_time,training_tokens,running_time,species,datasets,assay_type,track_name_clean
0.38716080109025275,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR046BCI_M,PRO-cap,ENCSR046BCI_M
0.3527026077981477,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR046BCI_P,PRO-cap,ENCSR046BCI_P
0.41456495545368344,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR100LIJ_M,PRO-cap,ENCSR100LIJ_M
0.4102609505218064,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR100LIJ_P,PRO-cap,ENCSR100LIJ_P
0.2657631006973815,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR114HGS_M,PRO-cap,ENCSR114HGS_M
0.29807462470346585,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR114HGS_P,PRO-cap,ENCSR114HGS_P
0.4473563478076352,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR154HRN_M,eCLIP,ENCSR154HRN_M
0.4562952430367407,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR154HRN_P,eCLIP,ENCSR154HRN_P
0.5429368543148579,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR249ROI_M,eCLIP,ENCSR249ROI_M
0.5241774346582178,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR249ROI_P,eCLIP,ENCSR249ROI_P
0.5938181757768926,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR321PWZ_M,eCLIP,ENCSR321PWZ_M
0.6249136621501489,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR321PWZ_P,eCLIP,ENCSR321PWZ_P
0.6688531950367684,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR325NFE,ATAC-seq,ENCSR325NFE
0.5152367811691726,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR410DWV,ATAC-seq,ENCSR410DWV
0.41352052576755854,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR484LTQ_M,eCLIP,ENCSR484LTQ_M
0.41729202253202186,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR484LTQ_P,eCLIP,ENCSR484LTQ_P
0.5033724006446149,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR487QSB,ATAC-seq,ENCSR487QSB
0.42209066402130113,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR527JGN_M,polyA plus RNA-seq,ENCSR527JGN_M
0.6163105742236274,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR527JGN_P,polyA plus RNA-seq,ENCSR527JGN_P
0.6057629056646174,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR619DQO_M,total RNA-seq,ENCSR619DQO_M
0.619960925481082,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR619DQO_P,total RNA-seq,ENCSR619DQO_P
0.4139890736785832,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR628PLS,ATAC-seq,ENCSR628PLS
0.4601166253046461,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR682BFG,Histone ChIP-seq,ENCSR682BFG
0.49283717185745646,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR701YIC,total RNA-seq,ENCSR701YIC
0.44335529263917645,beat-v7-bio-readout-phylo-structure-mlp-seed0,Lumina beat-v7 bio-readout phylo-structure MLP,19500.0,0 days 06:42:49.585964,20900216832.0,24750.294966054,human,ENCSR754DRC,Histone ChIP-seq,ENCSR754DRC
