step,tokens_seen,elapsed_seconds,loss,learning_rate,head_learning_rate,decoder_learning_rate,backbone_learning_rate
50,52428800,135.114025,4.29739571,1.3344481605351173e-05,,,
100,104857600,192.617305,5.41959745,1.668896321070234e-05,,,
150,157286400,250.296513,5.45616452,2.0033444816053514e-05,,,
200,209715200,307.833766,4.97230521,2.3377926421404685e-05,,,
250,262144000,365.74803,3.65400551,2.6722408026755852e-05,,,
300,314572800,424.018087,6.74584003,3.0066889632107026e-05,,,
350,367001600,481.568777,5.37569603,3.34113712374582e-05,,,
400,419430400,539.114642,4.5506284,3.675585284280937e-05,,,
450,471859200,596.668192,5.63238139,4.010033444816054e-05,,,
500,524288000,654.361718,4.77644207,4.3444816053511704e-05,,,
550,576716800,768.079789,6.05365679,4.6789297658862885e-05,,,
600,629145600,826.066722,3.29229381,4.995056427307455e-05,,,
650,681574400,883.825569,5.65452497,4.916768634634849e-05,,,
700,734003200,941.379846,4.12342732,4.845371391271287e-05,,,
750,786432000,998.954402,4.58728454,4.779827702913026e-05,,,
800,838860800,1056.527946,6.69182274,4.719313155282348e-05,,,
850,891289600,1114.083031,3.62984878,4.663162141392431e-05,,,
900,943718400,1172.207465,5.23074742,4.610829977304328e-05,,,
950,996147200,1230.293315,4.00364421,4.5618656085982576e-05,,,
1000,1048576000,1287.842871,4.7620528,4.5158915568657304e-05,,,
1050,1101004800,1386.972015,5.71965205,4.472588927057007e-05,,,
1100,1153433600,1444.484194,3.80138246,4.4316860230766184e-05,,,
1150,1205862400,1501.997467,4.65770914,4.392949581859855e-05,,,
1200,1258291200,1559.805527,6.23651685,4.356177938141798e-05,,,
1250,1310720000,1617.933667,3.77562596,4.3211956334309225e-05,,,
1300,1363148800,1675.743607,6.10440667,4.287849119513471e-05,,,
1350,1415577600,1733.267992,3.86323682,4.2560033014512184e-05,,,
1400,1468006400,1790.796476,5.35048669,4.2255387315553166e-05,,,
1450,1520435200,1848.346553,5.87057854,4.196349313267817e-05,,,
1500,1572864000,1906.038477,4.5340348,4.168340408188106e-05,,,
1550,1625292800,2005.065434,3.68538884,4.1414272645952975e-05,,,
1600,1677721600,2063.173036,4.44755398,4.115533704415691e-05,,,
1650,1730150400,2121.192918,5.88123967,4.0905910195053085e-05,,,
1700,1782579200,2178.831878,4.68291629,4.066537038641842e-05,,,
