assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
ATAC-seq,0,127,63,0.03746037648342365,1.0,519575
ATAC-seq,128,255,191,0.01740329208793683,0.46457867543423775,516118
ATAC-seq,256,383,319,0.013157427512117926,0.35123585898663173,510952
ATAC-seq,384,511,447,0.011596398921595858,0.3095643987114573,505775
ATAC-seq,512,639,575,0.010312146328445241,0.2752814385890756,499570
ATAC-seq,640,767,703,0.009118081802645644,0.24340603748818243,493941
ATAC-seq,768,895,831,0.008214080366727449,0.21927383378974338,488933
ATAC-seq,896,1023,959,0.007416035793617047,0.19797013510792313,483174
ATAC-seq,1024,1151,1087,0.0067761950359212205,0.18088966721729854,477461
ATAC-seq,1152,1279,1215,0.00637601391805141,0.17020688302139245,472368
ATAC-seq,1280,1407,1343,0.006002712900627884,0.16024165969832432,467236
ATAC-seq,1408,1535,1471,0.005773669272750022,0.15412736909638083,461607
ATAC-seq,1536,1663,1599,0.005615330188569421,0.14990052732262915,455530
ATAC-seq,1664,1791,1727,0.005502694193959717,0.14689372372951667,449676
ATAC-seq,1792,1919,1855,0.005292256212232248,0.14127610849223818,444654
ATAC-seq,1920,2047,1983,0.005131162003472792,0.13697571901722208,438682
ATAC-seq,2048,2175,2111,0.004871929769898954,0.13005554741434058,432720
ATAC-seq,2176,2303,2239,0.004649521483214949,0.1241183864041617,426108
ATAC-seq,2304,2431,2367,0.004363483646145944,0.1164826426151056,420773
ATAC-seq,2432,2559,2495,0.004201593368965939,0.11216100219454973,415620
ATAC-seq,2560,2687,2623,0.004038551091994222,0.1078086092856353,409885
ATAC-seq,2688,2815,2751,0.003987219925534277,0.10643833030612054,405878
ATAC-seq,2816,2943,2879,0.003902237495466439,0.1041697351117972,400640
ATAC-seq,2944,3071,3007,0.0038100621909991426,0.10170912704748465,394946
ATAC-seq,3072,3199,3135,0.0037089322278572243,0.09900947550536338,388856
ATAC-seq,3200,3327,3263,0.003651176657294578,0.09746769787298418,383481
ATAC-seq,3328,3455,3391,0.0036501037743437827,0.09743905739866139,377966
ATAC-seq,3456,3583,3519,0.0036054641205366905,0.0962474075008862,372827
ATAC-seq,3584,3711,3647,0.003549752618018915,0.0947601960057634,368259
ATAC-seq,3712,3839,3775,0.00352497709672674,0.09409881660656973,362993
ATAC-seq,3840,3967,3903,0.00340194907308638,0.09081459911626233,358076
ATAC-seq,3968,4095,4031,0.00340275276405164,0.09083605354466659,352458
ATAC-seq,4096,4223,4159,0.0033655929045616987,0.08984407580770004,345678
ATAC-seq,4224,4351,4287,0.003331956722882415,0.08894616220306321,340674
ATAC-seq,4352,4479,4415,0.0033274200661227377,0.0888250567261419,336147
ATAC-seq,4480,4607,4543,0.0033351149748049014,0.08903047133764663,332010
ATAC-seq,4608,4735,4671,0.0031833586072146343,0.08497935434854163,325343
ATAC-seq,4736,4863,4799,0.0030797614690727788,0.08221384188265124,318674
ATAC-seq,4864,4991,4927,0.0029760947111307765,0.07944647092502417,313639
ATAC-seq,4992,5119,5055,0.0028338942026958896,0.07565044638432553,307113
ATAC-seq,5120,5247,5183,0.0027054114086019565,0.07222061448846118,301904
ATAC-seq,5248,5375,5311,0.002720393667044655,0.07262056397773894,296048
ATAC-seq,5376,5503,5439,0.0027132959757979486,0.0724310920099426,291628
ATAC-seq,5504,5631,5567,0.002612035373123459,0.0697279530620653,286568
ATAC-seq,5632,5759,5695,0.002544613907604064,0.06792814558951549,281538
ATAC-seq,5760,5887,5823,0.0024242031205245177,0.06471379489731599,277044
ATAC-seq,5888,6015,5951,0.0023332007229342673,0.06228449743335379,271618
ATAC-seq,6016,6143,6079,0.002298723421668601,0.06136413024801804,265894
ATAC-seq,6144,6271,6207,0.002261478307261784,0.0603698766418564,258447
ATAC-seq,6272,6399,6335,0.002256773814105509,0.06024429079361066,252711
ATAC-seq,6400,6527,6463,0.0022600053199967394,0.060330555433600615,247287
ATAC-seq,6528,6655,6591,0.0022317484000861985,0.05957624053975419,242781
ATAC-seq,6656,6783,6719,0.002267858383904794,0.06054019197880537,237763
ATAC-seq,6784,6911,6847,0.0022079864169935186,0.05894191741427266,232697
ATAC-seq,6912,7039,6975,0.0021369749935772854,0.05704627647089731,228275
ATAC-seq,7040,7167,7103,0.0022286330824546467,0.05949307753062291,222429
ATAC-seq,7168,7295,7231,0.00211764805162527,0.056530346206273084,217224
ATAC-seq,7296,7423,7359,0.0020556658863512163,0.05487574016403321,210693
ATAC-seq,7424,7551,7487,0.002085339964588618,0.05566788591971008,205660
ATAC-seq,7552,7679,7615,0.0020619893925334204,0.05504454535970449,199000
ATAC-seq,7680,7807,7743,0.0020061360998517687,0.05355354879413694,192318
ATAC-seq,7808,7935,7871,0.001988986295074795,0.053095736930324995,188174
ATAC-seq,7936,8063,7999,0.0019857321902921393,0.05300886901579414,183650
ATAC-seq,8064,8191,8127,0.0019060421455761468,0.05088155337732863,178654
ATAC-seq,8192,8319,8255,0.0019261956042621203,0.05141954740135803,171888
ATAC-seq,8320,8447,8383,0.001960204242112957,0.05232740367626455,166247
ATAC-seq,8448,8575,8511,0.0019574665087279744,0.05225432023071525,161337
ATAC-seq,8576,8703,8639,0.0019199760705642982,0.05125351773797293,156068
ATAC-seq,8704,8831,8767,0.001973496152004958,0.0526822295253289,151489
ATAC-seq,8832,8959,8895,0.0020229607211131343,0.05400267992523518,146372
ATAC-seq,8960,9087,9023,0.001996996933945207,0.053309579919168334,140847
ATAC-seq,9088,9215,9151,0.0019711718635705548,0.05262018294030775,135475
ATAC-seq,9216,9343,9279,0.001985342693013638,0.05299847143533539,129395
ATAC-seq,9344,9471,9407,0.001888392604993794,0.05041040112956191,123691
ATAC-seq,9472,9599,9535,0.0018560739142808036,0.049547657779203655,118440
ATAC-seq,9600,9727,9663,0.001793306097625948,0.04787207887297909,114443
ATAC-seq,9728,9855,9791,0.0017687703670529293,0.047217100656626244,108712
ATAC-seq,9856,9983,9919,0.0017542201089979887,0.04682868336291914,103557
ATAC-seq,9984,10111,10047,0.0017552560101965942,0.046856336614056755,98226
ATAC-seq,10112,10239,10175,0.001723280305197354,0.04600274922383419,91617
ATAC-seq,10240,10367,10303,0.0017469807450460628,0.046635429460222,85650
ATAC-seq,10368,10495,10431,0.0018062797317395104,0.04821840839049751,79679
ATAC-seq,10496,10623,10559,0.001793922404843582,0.04788853111600197,74651
ATAC-seq,10624,10751,10687,0.0017993653246108233,0.04803382916899003,68810
ATAC-seq,10752,10879,10815,0.0019212242314970399,0.051286837235797356,62726
ATAC-seq,10880,11007,10943,0.001912485527065679,0.051053558629128054,57092
ATAC-seq,11008,11135,11071,0.0017444525251438469,0.04656793895052745,51962
ATAC-seq,11136,11263,11199,0.0016639617334263718,0.04441924747239742,46864
ATAC-seq,11264,11391,11327,0.0016752426193258887,0.04472038929099363,41162
ATAC-seq,11392,11519,11455,0.001803488100405315,0.04814388614602858,35396
ATAC-seq,11520,11647,11583,0.0018504517747974752,0.0493975754786209,30392
ATAC-seq,11648,11775,11711,0.0017415098609155197,0.04648938490210166,24768
ATAC-seq,11776,11903,11839,0.0015733394918459483,0.042000098224911235,18552
ATAC-seq,11904,12031,11967,0.0016457956353773304,0.04393430578856037,13378
ATAC-seq,12032,12159,12095,0.0020999061268605888,0.05605672777447404,8209
ATAC-seq,12160,12287,12223,0.0022696115813536223,0.060586993362384746,2708
Histone ChIP-seq,0,127,63,0.023916815109688974,1.0,519575
Histone ChIP-seq,128,255,191,0.016396281396367292,0.6855545490137176,516118
Histone ChIP-seq,256,383,319,0.013580918221592918,0.5678397461914205,510952
Histone ChIP-seq,384,511,447,0.011782462865193024,0.4926434732699762,505775
Histone ChIP-seq,512,639,575,0.010551675863474233,0.44118231524897433,499570
Histone ChIP-seq,640,767,703,0.009535997535986052,0.39871519231349956,493941
Histone ChIP-seq,768,895,831,0.008872738739905,0.3709832893389953,488933
