track_id,assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
ENCSR046BCI_M,PRO-cap,0,127,63,0.019975355308576307,1.0,519575
ENCSR046BCI_M,PRO-cap,128,255,191,0.009458998693185207,0.47353343893332595,516118
ENCSR046BCI_M,PRO-cap,256,383,319,0.006586866904780584,0.3297496741873998,510952
ENCSR046BCI_M,PRO-cap,384,511,447,0.005613932695423346,0.28104294560472903,505775
ENCSR046BCI_M,PRO-cap,512,639,575,0.005663824561949108,0.28354061664762364,499570
ENCSR046BCI_M,PRO-cap,640,767,703,0.004533329211317158,0.2269461114101334,493941
ENCSR046BCI_M,PRO-cap,768,895,831,0.004126277924391428,0.20656843698894475,488933
ENCSR046BCI_M,PRO-cap,896,1023,959,0.003700082360366617,0.18523236774556934,483174
ENCSR046BCI_M,PRO-cap,1024,1151,1087,0.003340232878934267,0.16721769537186437,477461
ENCSR046BCI_M,PRO-cap,1152,1279,1215,0.0033690101966930472,0.1686583364675662,472368
ENCSR046BCI_M,PRO-cap,1280,1407,1343,0.003267907490304972,0.1635969643504621,467236
ENCSR046BCI_M,PRO-cap,1408,1535,1471,0.0032778140123049925,0.16409290156143963,461607
ENCSR046BCI_M,PRO-cap,1536,1663,1599,0.003266383629171147,0.16352067729021788,455530
ENCSR046BCI_M,PRO-cap,1664,1791,1727,0.003074413671307208,0.15391033720372552,449676
ENCSR046BCI_M,PRO-cap,1792,1919,1855,0.0028615767634971954,0.14325536238489803,444654
ENCSR046BCI_M,PRO-cap,1920,2047,1983,0.0027403404141453725,0.13718606612062728,438682
ENCSR046BCI_M,PRO-cap,2048,2175,2111,0.0026470412865826926,0.1325153543299528,432720
ENCSR046BCI_M,PRO-cap,2176,2303,2239,0.002102967373944194,0.10527809600669766,426108
ENCSR046BCI_M,PRO-cap,2304,2431,2367,0.0021152935739302717,0.10589516638145016,420773
ENCSR046BCI_M,PRO-cap,2432,2559,2495,0.0022726911066692375,0.1137747525168411,415620
ENCSR046BCI_M,PRO-cap,2560,2687,2623,0.002146431273886939,0.10745397219369514,409885
ENCSR046BCI_M,PRO-cap,2688,2815,2751,0.0021019823191725687,0.10522878250231145,405878
ENCSR046BCI_M,PRO-cap,2816,2943,2879,0.002194006765619371,0.10983568160499185,400640
ENCSR046BCI_M,PRO-cap,2944,3071,3007,0.002304951752963373,0.1153897749179838,394946
ENCSR046BCI_M,PRO-cap,3072,3199,3135,0.0022195239177406926,0.11111311330656294,388856
ENCSR046BCI_M,PRO-cap,3200,3327,3263,0.0022126790633681575,0.11077044834432337,383481
ENCSR046BCI_M,PRO-cap,3328,3455,3391,0.0019364074808130003,0.09693982664636831,377966
ENCSR046BCI_M,PRO-cap,3456,3583,3519,0.0018026959441509744,0.09024600145044714,372827
ENCSR046BCI_M,PRO-cap,3584,3711,3647,0.001898151790681371,0.09502468223263143,368259
ENCSR046BCI_M,PRO-cap,3712,3839,3775,0.0018138679196264716,0.09080528939816643,362993
ENCSR046BCI_M,PRO-cap,3840,3967,3903,0.0017389292557770288,0.08705373340870834,358076
ENCSR046BCI_M,PRO-cap,3968,4095,4031,0.0017586219434044753,0.08803958258752077,352458
ENCSR046BCI_M,PRO-cap,4096,4223,4159,0.0018146648587691978,0.09084518551667922,345678
ENCSR046BCI_M,PRO-cap,4224,4351,4287,0.0017896604097539914,0.089593420597911,340674
ENCSR046BCI_M,PRO-cap,4352,4479,4415,0.0020137283638410526,0.10081064054847973,336147
ENCSR046BCI_M,PRO-cap,4480,4607,4543,0.0019864554383272515,0.09944531186758805,332010
ENCSR046BCI_M,PRO-cap,4608,4735,4671,0.0018350564307943842,0.09186602202797929,325343
