assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
ATAC-seq,0,127,63,0.01882325556096412,1.0,4010
ATAC-seq,128,255,191,0.009007896865942977,0.4785514831251431,3968
ATAC-seq,256,383,319,0.009110618296759757,0.4840086385297483,3968
ATAC-seq,384,511,447,0.008698380694113439,0.4621081972744523,3968
ATAC-seq,512,639,575,0.007434725871231392,0.39497555814147317,3968
ATAC-seq,640,767,703,0.00685228600303661,0.36403298998112515,3968
ATAC-seq,768,895,831,0.006592686697903475,0.35024157625397506,3968
ATAC-seq,896,1023,959,0.006194952879903051,0.329111659767836,3968
ATAC-seq,1024,1151,1087,0.0057037450552202855,0.30301586443148426,3784
ATAC-seq,1152,1279,1215,0.005061322358854121,0.26888666216434676,3712
ATAC-seq,1280,1407,1343,0.0035273700633995067,0.18739426089048095,3712
ATAC-seq,1408,1535,1471,0.0038531461689550613,0.20470136828752192,3712
ATAC-seq,1536,1663,1599,0.004099624212699382,0.21779570486208716,3712
ATAC-seq,1664,1791,1727,0.0032401702530775807,0.1721365489929958,3657
ATAC-seq,1792,1919,1855,0.0031575100060540046,0.16774515948251187,3584
ATAC-seq,1920,2047,1983,0.003278843090916845,0.1741910733930929,3584
ATAC-seq,2048,2175,2111,0.0032259737322216813,0.1713823478501637,3584
ATAC-seq,2176,2303,2239,0.0027831418490588283,0.14785656179638443,3584
ATAC-seq,2304,2431,2367,0.002588931030650808,0.13753896196467535,3553
ATAC-seq,2432,2559,2495,0.002866082010027808,0.15226282195156088,3456
ATAC-seq,2560,2687,2623,0.0024403396491655426,0.12964492997833738,3455
ATAC-seq,2688,2815,2751,0.0026443890453982442,0.14048521186113033,3328
ATAC-seq,2816,2943,2879,0.0027783302152980783,0.14760094003397642,3328
ATAC-seq,2944,3071,3007,0.002377769109111446,0.12632082167775965,3328
ATAC-seq,3072,3199,3135,0.002509854975003761,0.1333379853912586,3328
ATAC-seq,3200,3327,3263,0.0022160467740484835,0.11772919763381136,3241
ATAC-seq,3328,3455,3391,0.0023205024771447325,0.12327848759366668,3155
ATAC-seq,3456,3583,3519,0.0021664870033480574,0.1150962965110532,3072
ATAC-seq,3584,3711,3647,0.0024399968102142414,0.12962671639407236,3034
ATAC-seq,3712,3839,3775,0.00242396437577643,0.12877498092324025,2944
