assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
ATAC-seq,0,127,63,0.017335256098943087,1.0,4080
ATAC-seq,128,255,191,0.010229409693984337,0.5900927932993164,4096
ATAC-seq,256,383,319,0.007822034820563317,0.4512211862298486,4096
ATAC-seq,384,511,447,0.008988676023321318,0.518519944096433,4096
ATAC-seq,512,639,575,0.009034141877485524,0.5211426832071046,4096
ATAC-seq,640,767,703,0.009153651219126147,0.5280366881735445,4096
ATAC-seq,768,895,831,0.007361183254795733,0.4246365448990706,4096
ATAC-seq,896,1023,959,0.006320184101434277,0.3645855628184006,3934
ATAC-seq,1024,1151,1087,0.005642879461572647,0.3255146292252751,3840
ATAC-seq,1152,1279,1215,0.005891559137696353,0.33985994230887395,3840
ATAC-seq,1280,1407,1343,0.00550128092235506,0.3173463888249374,3840
ATAC-seq,1408,1535,1471,0.0053619799936162355,0.3093106881728243,3840
ATAC-seq,1536,1663,1599,0.005150258452754364,0.2970973387043512,3829
ATAC-seq,1664,1791,1727,0.004195100497138904,0.24199818411651128,3712
ATAC-seq,1792,1919,1855,0.0039365014574496895,0.22708066353226208,3653
ATAC-seq,1920,2047,1983,0.0034313144173152236,0.1979384900765572,3456
ATAC-seq,2048,2175,2111,0.003347978908699908,0.1931312055380613,3456
ATAC-seq,2176,2303,2239,0.003171266813387353,0.18293740774794218,3456
ATAC-seq,2304,2431,2367,0.0030345321738286237,0.17504974581907884,3456
ATAC-seq,2432,2559,2495,0.0034587447597746505,0.19952083430630868,3385
ATAC-seq,2560,2687,2623,0.0033388964254142525,0.1926072742367978,3328
ATAC-seq,2688,2815,2751,0.0031742707204119587,0.18311069085420034,3245
ATAC-seq,2816,2943,2879,0.0032094630335666352,0.18514079141653483,3200
ATAC-seq,2944,3071,3007,0.0029898000433172455,0.1724693322240293,3200
ATAC-seq,3072,3199,3135,0.0035147744299617828,0.20275295674322777,3191
ATAC-seq,3200,3327,3263,0.0031882417153211865,0.18391662039048678,2946
ATAC-seq,3328,3455,3391,0.0030079730702749184,0.1735176597972678,2944
ATAC-seq,3456,3583,3519,0.0027019867729052294,0.15586656219459988,2944
ATAC-seq,3584,3711,3647,0.003427533668508443,0.19772039414620568,2846
ATAC-seq,3712,3839,3775,0.003328588690537386,0.19201266318415258,2816
ATAC-seq,3840,3967,3903,0.003241721298725121,0.18700163875414366,2816
ATAC-seq,3968,4095,4031,0.003547007869706484,0.20461237200428448,2615
ATAC-seq,4096,4223,4159,0.0035065016746246235,0.20227573533444432,2432
ATAC-seq,4224,4351,4287,0.0036111568314762927,0.20831286315386258,2432
ATAC-seq,4352,4479,4415,0.0032062162658025714,0.18495349866784208,2432
ATAC-seq,4480,4607,4543,0.002775756287182898,0.16012202365744876,2432
ATAC-seq,4608,4735,4671,0.0032885188225667376,0.1897011964401977,2432
ATAC-seq,4736,4863,4799,0.00284819828766259,0.16430090628059668,2432
ATAC-seq,4864,4991,4927,0.0025915500725809102,0.14949592078647828,2432
ATAC-seq,4992,5119,5055,0.0028241122049681316,0.16291147871419764,2432
ATAC-seq,5120,5247,5183,0.0029097205014068095,0.1678498710834859,2432
ATAC-seq,5248,5375,5311,0.0032248549298132226,0.1860286869375895,2432
ATAC-seq,5376,5503,5439,0.0030670378773451326,0.1769248668632087,2432
ATAC-seq,5504,5631,5567,0.003422486261556694,0.19742922988979433,2432
ATAC-seq,5632,5759,5695,0.002909852577412808,0.1678574900079047,2324
ATAC-seq,5760,5887,5823,0.002771189719224607,0.15985859703529637,2304
ATAC-seq,5888,6015,5951,0.003571159417093046,0.2060055759609329,2269
ATAC-seq,6016,6143,6079,0.0028868390501835908,0.1665299337781112,2106
ATAC-seq,6144,6271,6207,0.0023226586694115,0.13398467586256832,1991
ATAC-seq,6272,6399,6335,0.002870503505678831,0.16558760304982414,1828
ATAC-seq,6400,6527,6463,0.0024391892351047773,0.1407068474317776,1792
ATAC-seq,6528,6655,6591,0.002741447032125075,0.15814286310383485,1773
ATAC-seq,6656,6783,6719,0.0030645881095446945,0.17678354978162333,1664
ATAC-seq,6784,6911,6847,0.0022159967631934637,0.1278317868824892,1664
ATAC-seq,6912,7039,6975,0.0026886722972720304,0.15509850456930693,1664
ATAC-seq,7040,7167,7103,0.00278228517657908,0.1604986485748378,1664
ATAC-seq,7168,7295,7231,0.002381306532225398,0.13736783112022116,1664
ATAC-seq,7296,7423,7359,0.002070446336902548,0.11943557828538692,1664
ATAC-seq,7424,7551,7487,0.0018972785102190615,0.10944623485168684,1664
ATAC-seq,7552,7679,7615,0.0022564837138317603,0.1301673134191156,1664
ATAC-seq,7680,7807,7743,0.002082994396945336,0.12015942453093231,1664
ATAC-seq,7808,7935,7871,0.0016862360193910647,0.09727205700144649,1664
ATAC-seq,7936,8063,7999,0.0019109357745737026,0.1102340665558561,1664
ATAC-seq,8064,8191,8127,0.002041118373146953,0.1177437680468648,1664
ATAC-seq,8192,8319,8255,0.0018345066961105376,0.10582518571631518,1484
ATAC-seq,8320,8447,8383,0.0021572944691342854,0.1244454917089926,1280
ATAC-seq,8448,8575,8511,0.002033365305709367,0.11729652530679022,1280
ATAC-seq,8576,8703,8639,0.0018757537662598427,0.10820456043762777,1251
