track_id,assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
ENCSR046BCI_M,PRO-cap,0,127,63,0.0010240185115167953,1.0,4080
ENCSR046BCI_M,PRO-cap,128,255,191,0.0008728397009747368,0.8523671116861652,4096
ENCSR046BCI_M,PRO-cap,256,383,319,0.0004637592784249023,0.4528817332979395,4096
ENCSR046BCI_M,PRO-cap,384,511,447,0.0004106173294644577,0.4009862369150375,4096
ENCSR046BCI_M,PRO-cap,512,639,575,0.0004502252709208676,0.4396651680192632,4096
ENCSR046BCI_M,PRO-cap,640,767,703,0.00043366124893395863,0.4234896577129368,4096
ENCSR046BCI_M,PRO-cap,768,895,831,0.0003379298698380495,0.3300036728217945,4096
ENCSR046BCI_M,PRO-cap,896,1023,959,0.00028679790066133277,0.2800710118379817,3934
ENCSR046BCI_M,PRO-cap,1024,1151,1087,0.0003530559697461892,0.34477498773263004,3840
ENCSR046BCI_M,PRO-cap,1152,1279,1215,0.00050692097325206,0.49503106394160706,3840
ENCSR046BCI_M,PRO-cap,1280,1407,1343,0.0005155731997623055,0.5034803511497354,3840
ENCSR046BCI_M,PRO-cap,1408,1535,1471,0.0003345537497731736,0.3267067401717439,3840
ENCSR046BCI_M,PRO-cap,1536,1663,1599,0.00038825875046340344,0.3791520818196024,3829
ENCSR046BCI_M,PRO-cap,1664,1791,1727,0.00041721967966560475,0.4074337279778382,3712
ENCSR046BCI_M,PRO-cap,1792,1919,1855,0.00030561932024014145,0.29845097212886557,3653
ENCSR046BCI_M,PRO-cap,1920,2047,1983,0.00033563423137281833,0.3277618789094649,3456
ENCSR046BCI_M,PRO-cap,2048,2175,2111,0.0003141686044698502,0.3067997315834631,3456
ENCSR046BCI_M,PRO-cap,2176,2303,2239,0.00018763039584310145,0.1832294960812572,3456
ENCSR046BCI_M,PRO-cap,2304,2431,2367,0.00019467958461687144,0.19011334504930816,3456
ENCSR046BCI_M,PRO-cap,2432,2559,2495,0.00022866469161362117,0.22330132614001164,3385
ENCSR046BCI_M,PRO-cap,2560,2687,2623,0.00019516855093552993,0.1905908425878382,3328
ENCSR046BCI_M,PRO-cap,2688,2815,2751,0.00023674305179246052,0.23119020713970523,3245
ENCSR046BCI_M,PRO-cap,2816,2943,2879,0.0003248215411008459,0.3172028019490724,3200
ENCSR046BCI_M,PRO-cap,2944,3071,3007,0.00020900784049445064,0.20410552948389998,3200
ENCSR046BCI_M,PRO-cap,3072,3199,3135,0.00018615627305543713,0.18178994907006027,3191
ENCSR046BCI_M,PRO-cap,3200,3327,3263,0.000302423938505196,0.29533053856344843,2946
ENCSR046BCI_M,PRO-cap,3328,3455,3391,0.0004329102373355414,0.4227562612069451,2944
ENCSR046BCI_M,PRO-cap,3456,3583,3519,0.00019674426583981625,0.19212959885695324,2944
ENCSR046BCI_M,PRO-cap,3584,3711,3647,0.00021493432008405593,0.20989300258419274,2846
ENCSR046BCI_M,PRO-cap,3712,3839,3775,0.0003207993709886316,0.31327497245480224,2816
ENCSR046BCI_M,PRO-cap,3840,3967,3903,0.0001948470660305578,0.19027689816070484,2816
ENCSR046BCI_M,PRO-cap,3968,4095,4031,0.0002303569150815253,0.2249538582464846,2615
ENCSR046BCI_M,PRO-cap,4096,4223,4159,0.00025075562097012343,0.24487410935442908,2432
ENCSR046BCI_M,PRO-cap,4224,4351,4287,0.0006686062051932439,0.6529239439264549,2432
ENCSR046BCI_M,PRO-cap,4352,4479,4415,0.0005008436592675025,0.48909629429026974,2432
ENCSR046BCI_M,PRO-cap,4480,4607,4543,0.00019520509309395014,0.19062652764431837,2432
ENCSR046BCI_M,PRO-cap,4608,4735,4671,0.0002186254910875026,0.2134975966046458,2432
ENCSR046BCI_M,PRO-cap,4736,4863,4799,0.00020402109097822656,0.19923574494373808,2432
ENCSR046BCI_M,PRO-cap,4864,4991,4927,0.00019241609553127521,0.18790294644797476,2432
ENCSR046BCI_M,PRO-cap,4992,5119,5055,0.0003106440671768053,0.3033578628541329,2432
ENCSR046BCI_M,PRO-cap,5120,5247,5183,0.00033458746811208443,0.32673966764183515,2432
ENCSR046BCI_M,PRO-cap,5248,5375,5311,0.0005022703517589003,0.49048952349008623,2432
ENCSR046BCI_M,PRO-cap,5376,5503,5439,0.0002858215951666927,0.27911760573871697,2432
ENCSR046BCI_M,PRO-cap,5504,5631,5567,0.00021008932383450118,0.20516164646605164,2432
ENCSR046BCI_M,PRO-cap,5632,5759,5695,0.00018933520800953614,0.1848943216164025,2324
ENCSR046BCI_M,PRO-cap,5760,5887,5823,0.00019737409560447204,0.19274465586771264,2304
ENCSR046BCI_M,PRO-cap,5888,6015,5951,0.00027859714524570067,0.272062606400579,2269
ENCSR046BCI_M,PRO-cap,6016,6143,6079,0.00019157219596822053,0.1870788406788274,2106
ENCSR046BCI_M,PRO-cap,6144,6271,6207,0.00018975861410586755,0.18530779665769279,1991
ENCSR046BCI_M,PRO-cap,6272,6399,6335,0.0002660804464587742,0.2598394887067529,1828
ENCSR046BCI_M,PRO-cap,6400,6527,6463,0.0002365398845540767,0.23099180522011212,1792
