track_index,track_id,assay_type,track_name_clean,gate_logit,gate_value,test_pearson
0,ENCSR046BCI_M,PRO-cap,ENCSR046BCI_M,-3.7418594360351562,0.02316083200275898,0.39396568683525685
1,ENCSR046BCI_P,PRO-cap,ENCSR046BCI_P,-3.757219076156616,0.02281586267054081,0.3490217846570988
2,ENCSR100LIJ_M,PRO-cap,ENCSR100LIJ_M,-3.767411470413208,0.022589722648262978,0.4218641918269708
3,ENCSR100LIJ_P,PRO-cap,ENCSR100LIJ_P,-3.7887558937072754,0.022123221307992935,0.40910445003715673
4,ENCSR114HGS_M,PRO-cap,ENCSR114HGS_M,-3.7725250720977783,0.02247709408402443,0.2695990077070392
5,ENCSR114HGS_P,PRO-cap,ENCSR114HGS_P,-3.750819206237793,0.022958986461162567,0.30135874568522164
6,ENCSR154HRN_M,eCLIP,ENCSR154HRN_M,-3.812330722808838,0.021618913859128952,0.4450139220219058
7,ENCSR154HRN_P,eCLIP,ENCSR154HRN_P,-3.784291982650757,0.022219998762011528,0.46375829578180416
8,ENCSR249ROI_M,eCLIP,ENCSR249ROI_M,-3.8245582580566406,0.021361788734793663,0.5399648036272249
9,ENCSR249ROI_P,eCLIP,ENCSR249ROI_P,-3.81177020072937,0.021630771458148956,0.5292516059832433
10,ENCSR321PWZ_M,eCLIP,ENCSR321PWZ_M,-3.8409745693206787,0.02102128230035305,0.5973306134950095
11,ENCSR321PWZ_P,eCLIP,ENCSR321PWZ_P,-3.822368860244751,0.021407607942819595,0.6205699217402774
12,ENCSR325NFE,ATAC-seq,ENCSR325NFE,-3.6697261333465576,0.024850180372595787,0.6703056011579225
13,ENCSR410DWV,ATAC-seq,ENCSR410DWV,-3.7605576515197754,0.022741546854376793,0.5080372736082405
14,ENCSR484LTQ_M,eCLIP,ENCSR484LTQ_M,-3.865384817123413,0.020524762570858,0.41878551689044713
15,ENCSR484LTQ_P,eCLIP,ENCSR484LTQ_P,-3.8558363914489746,0.020717602223157883,0.4191793561472724
16,ENCSR487QSB,ATAC-seq,ENCSR487QSB,-3.703038215637207,0.024055588990449905,0.5028507513747612
17,ENCSR527JGN_M,polyA plus RNA-seq,ENCSR527JGN_M,-3.8900864124298096,0.02003401331603527,0.41890356279421226
18,ENCSR527JGN_P,polyA plus RNA-seq,ENCSR527JGN_P,-3.8715083599090576,0.02040201984345913,0.6226879464211698
19,ENCSR619DQO_M,total RNA-seq,ENCSR619DQO_M,-3.8325624465942383,0.021195096895098686,0.59345051798941
20,ENCSR619DQO_P,total RNA-seq,ENCSR619DQO_P,-3.8290505409240723,0.021268079057335854,0.6219737865771893
21,ENCSR628PLS,ATAC-seq,ENCSR628PLS,-3.7089555263519287,0.0239170603454113,0.41464376691623456
22,ENCSR682BFG,Histone ChIP-seq,ENCSR682BFG,-3.7175543308258057,0.023717140778899193,0.4629589769232773
23,ENCSR701YIC,total RNA-seq,ENCSR701YIC,-3.8780107498168945,0.020272471010684967,0.49117929838089047
24,ENCSR754DRC,Histone ChIP-seq,ENCSR754DRC,-3.7769525051116943,0.02238001860678196,0.44465118517052005
25,ENCSR799DGV_M,PRO-cap,ENCSR799DGV_M,-3.7796645164489746,0.022320758551359177,0.4195515888860438
26,ENCSR799DGV_P,PRO-cap,ENCSR799DGV_P,-3.755262613296509,0.022859523072838783,0.41345118000981373
27,ENCSR814RGG,ATAC-seq,ENCSR814RGG,-3.657853841781616,0.02513950504362583,0.6416598279021285
28,ENCSR862QCH_M,eCLIP,ENCSR862QCH_M,-3.7735464572906494,0.02245466038584709,0.4597616693988484
29,ENCSR862QCH_P,eCLIP,ENCSR862QCH_P,-3.7576534748077393,0.022806180641055107,0.4702724799295799
30,ENCSR863PSM,Histone ChIP-seq,ENCSR863PSM,-3.7775049209594727,0.0223679356276989,0.49005597902386694
31,ENCSR935RNW_M,PRO-cap,ENCSR935RNW_M,-3.7644600868225098,0.022654978558421135,0.4175364443481356
32,ENCSR935RNW_P,PRO-cap,ENCSR935RNW_P,-3.7795939445495605,0.02232229895889759,0.41238227373287073
33,ENCSR962OTG,Histone ChIP-seq,ENCSR962OTG,-3.745532751083374,0.023077869787812233,0.8444872248374086
