step,tokens_seen,elapsed_seconds,loss,learning_rate,head_learning_rate,decoder_learning_rate,backbone_learning_rate
50,52428800,136.789164,4.29673921,1.3344481605351173e-05,,,
100,104857600,195.17387,5.41764881,1.668896321070234e-05,,,
150,157286400,253.768351,5.45195247,2.0033444816053514e-05,,,
200,209715200,312.160913,4.96852839,2.3377926421404685e-05,,,
250,262144000,370.901531,3.65384208,2.6722408026755852e-05,,,
300,314572800,430.079733,6.73812747,3.0066889632107026e-05,,,
350,367001600,488.461498,5.37188944,3.34113712374582e-05,,,
400,419430400,546.838085,4.54808867,3.675585284280937e-05,,,
450,471859200,605.208302,5.62400236,4.010033444816054e-05,,,
500,524288000,663.770274,4.77648665,4.3444816053511704e-05,,,
550,576716800,778.337615,6.04226951,4.6789297658862885e-05,,,
600,629145600,837.212598,3.29299842,4.995056427307455e-05,,,
650,681574400,896.000449,5.65536261,4.916768634634849e-05,,,
700,734003200,954.558545,4.122296,4.845371391271287e-05,,,
750,786432000,1012.955332,4.58832321,4.779827702913026e-05,,,
800,838860800,1071.354257,6.68066078,4.719313155282348e-05,,,
850,891289600,1129.925519,3.62952913,4.663162141392431e-05,,,
900,943718400,1188.506191,5.23071937,4.610829977304328e-05,,,
950,996147200,1247.377972,4.00337627,4.5618656085982576e-05,,,
1000,1048576000,1306.181676,4.76296782,4.5158915568657304e-05,,,
1050,1101004800,1406.778228,5.7247597,4.472588927057007e-05,,,
1100,1153433600,1465.176323,3.8042689,4.4316860230766184e-05,,,
1150,1205862400,1523.58,4.65641865,4.392949581859855e-05,,,
1200,1258291200,1582.132244,6.23730853,4.356177938141798e-05,,,
1250,1310720000,1640.849682,3.77555665,4.3211956334309225e-05,,,
1300,1363148800,1700.023251,6.10871002,4.287849119513471e-05,,,
1350,1415577600,1758.427671,3.86402172,4.2560033014512184e-05,,,
1400,1468006400,1816.833655,5.35465765,4.2255387315553166e-05,,,
1450,1520435200,1875.248672,5.86684728,4.196349313267817e-05,,,
1500,1572864000,1933.661137,4.53506896,4.168340408188106e-05,,,
1550,1625292800,2034.359306,3.68639746,4.1414272645952975e-05,,,
1600,1677721600,2093.183011,4.44791065,4.115533704415691e-05,,,
1650,1730150400,2152.37548,5.87654381,4.0905910195053085e-05,,,
1700,1782579200,2210.848634,4.67791576,4.066537038641842e-05,,,
1750,1835008000,2269.257845,4.15270706,4.043315334651026e-05,,,
1800,1887436800,2327.593081,4.57081977,4.020874547273901e-05,,,
1850,1939865600,2385.927527,4.41448,3.999167802178308e-05,,,
1900,1992294400,2444.267293,3.80325716,3.978152210269021e-05,,,
1950,2044723200,2503.371902,3.93820279,3.957788434405425e-05,,,
2000,2097152000,2562.133927,4.57566228,3.938040312978463e-05,,,
2050,2149580800,2663.491964,4.90089643,3.918874531668454e-05,,,
2100,2202009600,2721.810049,3.76129562,3.900260336206764e-05,,,
2150,2254438400,2780.132474,4.12341991,3.88216928017679e-05,,,
2200,2306867200,2838.457412,4.69309581,3.8645750028742727e-05,,,
2250,2359296000,2897.369215,4.88564324,3.847453033050521e-05,,,
2300,2411724800,2956.095547,3.21658237,3.830780615021282e-05,,,
2350,2464153600,3014.428669,5.01257598,3.814536554167188e-05,,,
2400,2516582400,3072.910281,5.76683323,3.798701079301339e-05,,,
2450,2569011200,3131.242719,4.60297307,3.7832557197534416e-05,,,
2500,2621440000,3189.57833,5.58096688,3.768183195331922e-05,,,
2550,2673868800,3290.864449,3.6589748,3.7534673175869496e-05,,,
2600,2726297600,3349.811862,3.47544476,3.7390929010172473e-05,,,
2650,2778726400,3408.454563,4.33610795,3.7250456830492594e-05,,,
2700,2831155200,3466.950859,3.90801133,3.7113122517745076e-05,,,
2750,2883584000,3525.274431,5.01697219,3.697879980564663e-05,,,
