step,tokens_seen,elapsed_seconds,loss,learning_rate,head_learning_rate,decoder_learning_rate,backbone_learning_rate
50,52428800,134.254569,4.29023872,1.3344481605351173e-05,,,
100,104857600,191.979519,5.37734897,1.668896321070234e-05,,,
150,157286400,249.696169,5.43378305,2.0033444816053514e-05,,,
200,209715200,307.412147,4.95072367,2.3377926421404685e-05,,,
250,262144000,365.288342,3.65417713,2.6722408026755852e-05,,,
300,314572800,422.961097,6.68770041,3.0066889632107026e-05,,,
350,367001600,481.204822,5.36662237,3.34113712374582e-05,,,
400,419430400,539.347738,4.53949589,3.675585284280937e-05,,,
450,471859200,597.019795,5.62016159,4.010033444816054e-05,,,
500,524288000,654.694843,4.76512209,4.3444816053511704e-05,,,
550,576716800,768.386314,6.03457911,4.6789297658862885e-05,,,
600,629145600,826.103045,3.29747716,4.995056427307455e-05,,,
650,681574400,884.151211,5.65955002,4.916768634634849e-05,,,
700,734003200,942.715729,4.12244474,4.845371391271287e-05,,,
750,786432000,1000.437213,4.58923421,4.779827702913026e-05,,,
800,838860800,1058.163243,6.69758546,4.719313155282348e-05,,,
850,891289600,1115.890643,3.62469939,4.663162141392431e-05,,,
900,943718400,1173.810414,5.23174089,4.610829977304328e-05,,,
950,996147200,1231.719112,4.00923385,4.5618656085982576e-05,,,
1000,1048576000,1289.786841,4.77563001,4.5158915568657304e-05,,,
1050,1101004800,1389.630214,5.74243277,4.472588927057007e-05,,,
1100,1153433600,1447.500012,3.80550201,4.4316860230766184e-05,,,
1150,1205862400,1505.201174,4.65586563,4.392949581859855e-05,,,
1200,1258291200,1562.875692,6.25038068,4.356177938141798e-05,,,
1250,1310720000,1620.66469,3.77742314,4.3211956334309225e-05,,,
1300,1363148800,1678.464473,6.11142527,4.287849119513471e-05,,,
1350,1415577600,1736.3773,3.86483875,4.2560033014512184e-05,,,
1400,1468006400,1794.666726,5.373119,4.2255387315553166e-05,,,
1450,1520435200,1852.280429,5.86850363,4.196349313267817e-05,,,
1500,1572864000,1909.899598,4.53883529,4.168340408188106e-05,,,
1550,1625292800,2008.897782,3.68577836,4.1414272645952975e-05,,,
1600,1677721600,2066.795503,4.45102186,4.115533704415691e-05,,,
1650,1730150400,2125.011695,5.88237234,4.0905910195053085e-05,,,
1700,1782579200,2183.183583,4.68428095,4.066537038641842e-05,,,
1750,1835008000,2240.90078,4.15322895,4.043315334651026e-05,,,
1800,1887436800,2298.510134,4.56955054,4.020874547273901e-05,,,
1850,1939865600,2356.133283,4.41632491,3.999167802178308e-05,,,
1900,1992294400,2413.973574,3.80489077,3.978152210269021e-05,,,
1950,2044723200,2471.782719,3.93949873,3.957788434405425e-05,,,
2000,2097152000,2529.754078,4.57813114,3.938040312978463e-05,,,
2050,2149580800,2629.461493,4.905711,3.918874531668454e-05,,,
2100,2202009600,2687.27986,3.75923017,3.900260336206764e-05,,,
2150,2254438400,2745.007327,4.12565134,3.88216928017679e-05,,,
2200,2306867200,2802.930097,4.6989715,3.8645750028742727e-05,,,
2250,2359296000,2860.608562,4.88859957,3.847453033050521e-05,,,
2300,2411724800,2918.41233,3.21438744,3.830780615021282e-05,,,
2350,2464153600,2976.347946,5.03383965,3.814536554167188e-05,,,
2400,2516582400,3034.594969,5.7717849,3.798701079301339e-05,,,
2450,2569011200,3092.207764,4.6131378,3.7832557197534416e-05,,,
2500,2621440000,3149.821392,5.58687377,3.768183195331922e-05,,,
2550,2673868800,3249.15036,3.65108196,3.7534673175869496e-05,,,
2600,2726297600,3306.976738,3.47010916,3.7390929010172473e-05,,,
2650,2778726400,3364.689995,4.32955553,3.7250456830492594e-05,,,
2700,2831155200,3422.808598,3.91154747,3.7113122517745076e-05,,,
2750,2883584000,3480.607748,5.01549014,3.697879980564663e-05,,,
2800,2936012800,3538.613613,3.43346225,3.6847369687978114e-05,,,
2850,2988441600,3596.226984,3.53312236,3.67187198802685e-05,,,
2900,3040870400,3653.841074,4.54196322,3.65927443300456e-05,,,
2950,3093299200,3711.64625,4.53092648,3.6469342770517894e-05,,,
3000,3145728000,3769.401416,4.05622993,3.6348420313171825e-05,,,
3050,3198156800,3868.964272,3.43657324,3.6229887075305486e-05,,,
3100,3250585600,3926.972613,5.17579737,3.611365783898408e-05,,,
3150,3303014400,3984.703388,5.0136616,3.599965173830699e-05,,,
3200,3355443200,4042.498352,5.00983406,3.5887791972227894e-05,,,
3250,3407872000,4100.300664,3.46664872,3.577800554047683e-05,,,
3300,3460300800,4157.91619,4.43552713,3.567022300040206e-05,,,
3350,3512729600,4216.022215,3.65807182,3.556437824278518e-05,,,
3400,3565158400,4273.86413,4.88333255,3.546040828489039e-05,,,
3450,3617587200,4331.642355,4.25623598,3.535825307919108e-05,,,
3500,3670016000,4389.443115,3.06660618,3.525785533637796e-05,,,
3550,3722444800,4488.430373,3.70991857,3.51591603613953e-05,,,
3600,3774873600,4546.262171,4.10435689,3.506211590137762e-05,,,
3650,3827302400,4604.142481,3.90411531,3.4966672004471204e-05,,,
3700,3879731200,4662.305601,3.39392997,3.487278088862399e-05,,,
3750,3932160000,4720.131641,5.0912168,3.478039681951567e-05,,,
3800,3984588800,4777.928702,4.8407335,3.468947599687909e-05,,,
3850,4037017600,4835.548492,4.62497044,3.45999764485338e-05,,,
3900,4089446400,4893.311114,5.81609944,3.451185793151611e-05,,,
3950,4141875200,4951.116802,4.43458532,3.442508183974615e-05,,,
4000,4194304000,5009.036373,5.33432121,3.4339611117723e-05,,,
4050,4246732800,5108.782514,4.79329584,3.4255410179784415e-05,,,
4100,4299161600,5166.627121,4.20489885,3.4172444834508656e-05,,,
4150,4351590400,5224.482012,6.3359999,3.409068221387261e-05,,,
4200,4404019200,5282.19201,3.5278502,3.40100907068136e-05,,,
4250,4456448000,5340.265216,5.03803183,3.3930639896872444e-05,,,
4300,4508876800,5398.175283,5.71504227,3.38523005036222e-05,,,
4350,4561305600,5455.894953,3.60289842,3.377504432761175e-05,,,
4400,4613734400,5513.809094,5.00073359,3.369884419857568e-05,,,
4450,4666163200,5571.419435,4.61507876,3.362367392668175e-05,,,
4500,4718592000,5629.161773,4.30824751,3.354950825660624e-05,,,
4550,4771020800,5728.291598,5.17791031,3.3476322824243414e-05,,,
4600,4823449600,5786.327172,6.26056013,3.340409411587108e-05,,,
4650,4875878400,5844.34864,3.70186831,3.333279942960794e-05,,,
4700,4928307200,5902.402402,4.17867128,3.326241683901076e-05,,,
4750,4980736000,5960.245113,4.94071447,3.319292515867148e-05,,,
4800,5033164800,6017.852445,4.95001358,3.312430391168442e-05,,,
4850,5085593600,6075.557618,5.73920204,3.305653329886373e-05,,,
4900,5138022400,6133.356501,4.50013644,3.2989594169599845e-05,,,
4950,5190451200,6191.269851,6.19402506,3.292346799425212e-05,,,
5000,5242880000,6249.149669,6.50772254,3.285813683798187e-05,,,
5050,5295308800,6348.242461,4.01746649,3.27935833359372e-05,,,
5100,5347737600,6406.275677,4.30624346,3.272979066970717e-05,,,
5150,5400166400,6464.00113,3.48166262,3.2666742544968576e-05,,,
5200,5452595200,6521.865845,4.34431971,3.260442317025411e-05,,,
