step,tokens_seen,elapsed_seconds,loss,learning_rate,head_learning_rate,decoder_learning_rate,backbone_learning_rate
50,52428800,133.004277,4.2983593,1.3344481605351173e-05,,,
100,104857600,190.386232,5.42238147,1.668896321070234e-05,,,
150,157286400,247.605755,5.47311076,2.0033444816053514e-05,,,
200,209715200,304.955503,4.98469146,2.3377926421404685e-05,,,
250,262144000,363.021217,3.66343439,2.6722408026755852e-05,,,
300,314572800,420.252653,6.75867814,3.0066889632107026e-05,,,
350,367001600,477.635371,5.37166664,3.34113712374582e-05,,,
400,419430400,535.026252,4.55054247,3.675585284280937e-05,,,
450,471859200,592.421868,5.62987033,4.010033444816054e-05,,,
500,524288000,649.956613,4.78531349,4.3444816053511704e-05,,,
550,576716800,762.67072,6.08317222,4.6789297658862885e-05,,,
600,629145600,820.879731,3.30330203,4.995056427307455e-05,,,
650,681574400,878.398776,5.68193519,4.916768634634849e-05,,,
700,734003200,935.797266,4.13132568,4.845371391271287e-05,,,
750,786432000,993.184139,4.5948376,4.779827702913026e-05,,,
800,838860800,1050.566229,6.73620003,4.719313155282348e-05,,,
850,891289600,1108.094243,3.63285007,4.663162141392431e-05,,,
900,943718400,1166.207834,5.23344284,4.610829977304328e-05,,,
950,996147200,1223.924199,4.01636929,4.5618656085982576e-05,,,
1000,1048576000,1281.300134,4.77039735,4.5158915568657304e-05,,,
1050,1101004800,1379.725263,5.74167351,4.472588927057007e-05,,,
1100,1153433600,1437.085278,3.80271191,4.4316860230766184e-05,,,
1150,1205862400,1494.455007,4.65387763,4.392949581859855e-05,,,
1200,1258291200,1552.11132,6.25761252,4.356177938141798e-05,,,
1250,1310720000,1610.367628,3.78327557,4.3211956334309225e-05,,,
1300,1363148800,1667.909337,6.12914106,4.287849119513471e-05,,,
1350,1415577600,1725.286301,3.8627267,4.2560033014512184e-05,,,
1400,1468006400,1782.662024,5.36552265,4.2255387315553166e-05,,,
1450,1520435200,1840.044767,5.875967,4.196349313267817e-05,,,
1500,1572864000,1897.434626,4.54268207,4.168340408188106e-05,,,
1550,1625292800,1995.95515,3.69008051,4.1414272645952975e-05,,,
1600,1677721600,2054.068692,4.45767081,4.115533704415691e-05,,,
1650,1730150400,2111.626961,5.87960632,4.0905910195053085e-05,,,
1700,1782579200,2169.000521,4.68344133,4.066537038641842e-05,,,
1750,1835008000,2226.379401,4.15720408,4.043315334651026e-05,,,
1800,1887436800,2283.764205,4.57783166,4.020874547273901e-05,,,
1850,1939865600,2341.463887,4.42186462,3.999167802178308e-05,,,
1900,1992294400,2398.986659,3.80576534,3.978152210269021e-05,,,
1950,2044723200,2456.942687,3.93891829,3.957788434405425e-05,,,
2000,2097152000,2514.48039,4.59125436,3.938040312978463e-05,,,
2050,2149580800,2613.418288,4.9093547,3.918874531668454e-05,,,
2100,2202009600,2670.783638,3.76400016,3.900260336206764e-05,,,
2150,2254438400,2728.170144,4.12866768,3.88216928017679e-05,,,
2200,2306867200,2785.661144,4.69243179,3.8645750028742727e-05,,,
2250,2359296000,2843.296155,4.88499554,3.847453033050521e-05,,,
2300,2411724800,2901.023201,3.21783743,3.830780615021282e-05,,,
2350,2464153600,2958.570655,5.01816522,3.814536554167188e-05,,,
2400,2516582400,3015.788753,5.76483112,3.798701079301339e-05,,,
2450,2569011200,3073.011674,4.60275203,3.7832557197534416e-05,,,
2500,2621440000,3130.336561,5.57480299,3.768183195331922e-05,,,
2550,2673868800,3228.486558,3.6584843,3.7534673175869496e-05,,,
2600,2726297600,3285.843728,3.47430153,3.7390929010172473e-05,,,
2650,2778726400,3343.421878,4.33556896,3.7250456830492594e-05,,,
2700,2831155200,3401.167608,3.91198629,3.7113122517745076e-05,,,
2750,2883584000,3458.385145,5.01111328,3.697879980564663e-05,,,
2800,2936012800,3515.609,3.43913533,3.6847369687978114e-05,,,
2850,2988441600,3573.071471,3.53131115,3.67187198802685e-05,,,
2900,3040870400,3630.465135,4.53523649,3.65927443300456e-05,,,
2950,3093299200,3687.889478,4.53539386,3.6469342770517894e-05,,,
3000,3145728000,3745.316336,4.05826663,3.6348420313171825e-05,,,
3050,3198156800,3843.874492,3.43913408,3.6229887075305486e-05,,,
3100,3250585600,3901.457198,5.17416945,3.611365783898408e-05,,,
3150,3303014400,3958.817542,5.02159975,3.599965173830699e-05,,,
3200,3355443200,4016.333228,5.00696964,3.5887791972227894e-05,,,
3250,3407872000,4073.743821,3.46552026,3.577800554047683e-05,,,
3300,3460300800,4130.966707,4.43091242,3.567022300040206e-05,,,
3350,3512729600,4188.371418,3.67794407,3.556437824278518e-05,,,
3400,3565158400,4245.814747,4.87994055,3.546040828489039e-05,,,
3450,3617587200,4303.072562,4.25146749,3.535825307919108e-05,,,
3500,3670016000,4360.907595,3.06444398,3.525785533637796e-05,,,
