step,tokens_seen,elapsed_seconds,loss,learning_rate,head_learning_rate,decoder_learning_rate,backbone_learning_rate
50,52428800,133.937042,4.30653906,1.3344481605351173e-05,,,
100,104857600,191.021937,5.4081413,1.668896321070234e-05,,,
150,157286400,248.146394,5.45847913,2.0033444816053514e-05,,,
200,209715200,305.294836,4.97869871,2.3377926421404685e-05,,,
250,262144000,362.767295,3.66917595,2.6722408026755852e-05,,,
300,314572800,420.144478,6.73723883,3.0066889632107026e-05,,,
350,367001600,478.176879,5.37727681,3.34113712374582e-05,,,
400,419430400,535.813242,4.56084181,3.675585284280937e-05,,,
450,471859200,593.296675,5.6448648,4.010033444816054e-05,,,
500,524288000,650.665163,4.79711324,4.3444816053511704e-05,,,
550,576716800,762.801849,6.09628697,4.6789297658862885e-05,,,
600,629145600,820.117884,3.30876322,4.995056427307455e-05,,,
650,681574400,877.408131,5.69551536,4.916768634634849e-05,,,
700,734003200,935.188089,4.14022832,4.845371391271287e-05,,,
750,786432000,992.721559,4.5995196,4.779827702913026e-05,,,
800,838860800,1050.223295,6.75386497,4.719313155282348e-05,,,
850,891289600,1107.585443,3.63521425,4.663162141392431e-05,,,
900,943718400,1164.950547,5.23984105,4.610829977304328e-05,,,
950,996147200,1222.473235,4.02806201,4.5618656085982576e-05,,,
1000,1048576000,1280.156825,4.78163859,4.5158915568657304e-05,,,
1050,1101004800,1378.953111,5.75014015,4.472588927057007e-05,,,
1100,1153433600,1436.620809,3.81672096,4.4316860230766184e-05,,,
1150,1205862400,1494.121195,4.66590752,4.392949581859855e-05,,,
1200,1258291200,1551.499213,6.28704389,4.356177938141798e-05,,,
1250,1310720000,1609.018019,3.79046884,4.3211956334309225e-05,,,
1300,1363148800,1666.556221,6.15192098,4.287849119513471e-05,,,
1350,1415577600,1724.335768,3.87732013,4.2560033014512184e-05,,,
1400,1468006400,1781.898596,5.38745216,4.2255387315553166e-05,,,
1450,1520435200,1839.578582,5.88894822,4.196349313267817e-05,,,
1500,1572864000,1896.958374,4.54255284,4.168340408188106e-05,,,
1550,1625292800,1995.284358,3.69062327,4.1414272645952975e-05,,,
1600,1677721600,2052.655258,4.46804148,4.115533704415691e-05,,,
1650,1730150400,2110.628037,5.9043588,4.0905910195053085e-05,,,
1700,1782579200,2168.143797,4.69772387,4.066537038641842e-05,,,
1750,1835008000,2225.839873,4.15959808,4.043315334651026e-05,,,
1800,1887436800,2283.389728,4.58615959,4.020874547273901e-05,,,
1850,1939865600,2340.761287,4.43068625,3.999167802178308e-05,,,
1900,1992294400,2398.048082,3.8162128,3.978152210269021e-05,,,
1950,2044723200,2455.647598,3.9507876,3.957788434405425e-05,,,
2000,2097152000,2512.945222,4.60500904,3.938040312978463e-05,,,
2050,2149580800,2611.458527,4.91840708,3.918874531668454e-05,,,
2100,2202009600,2668.797754,3.77074948,3.900260336206764e-05,,,
2150,2254438400,2726.147389,4.15495703,3.88216928017679e-05,,,
2200,2306867200,2783.3236,4.71766263,3.8645750028742727e-05,,,
2250,2359296000,2840.502068,4.89515939,3.847453033050521e-05,,,
2300,2411724800,2898.077194,3.22031947,3.830780615021282e-05,,,
2350,2464153600,2955.707279,5.04105123,3.814536554167188e-05,,,
2400,2516582400,3013.0394,5.78561544,3.798701079301339e-05,,,
2450,2569011200,3070.381169,4.6213491,3.7832557197534416e-05,,,
2500,2621440000,3127.556104,5.5740733,3.768183195331922e-05,,,
2550,2673868800,3225.517531,3.65932756,3.7534673175869496e-05,,,
2600,2726297600,3282.822939,3.47997566,3.7390929010172473e-05,,,
2650,2778726400,3340.255126,4.34336919,3.7250456830492594e-05,,,
2700,2831155200,3398.080945,3.91835915,3.7113122517745076e-05,,,
2750,2883584000,3455.250753,5.02660148,3.697879980564663e-05,,,
2800,2936012800,3512.574806,3.44238042,3.6847369687978114e-05,,,
2850,2988441600,3569.747485,3.53330202,3.67187198802685e-05,,,
2900,3040870400,3626.926363,4.54769986,3.65927443300456e-05,,,
2950,3093299200,3684.344326,4.53903187,3.6469342770517894e-05,,,
3000,3145728000,3742.096218,4.06332877,3.6348420313171825e-05,,,
3050,3198156800,3840.217928,3.43998916,3.6229887075305486e-05,,,
3100,3250585600,3897.390114,5.18417604,3.611365783898408e-05,,,
3150,3303014400,3954.713281,5.02469382,3.599965173830699e-05,,,
3200,3355443200,4011.891349,5.02304193,3.5887791972227894e-05,,,
3250,3407872000,4069.074778,3.4682832,3.577800554047683e-05,,,
3300,3460300800,4126.501395,4.44738825,3.567022300040206e-05,,,
3350,3512729600,4184.185588,3.66995893,3.556437824278518e-05,,,
3400,3565158400,4241.688681,4.89987098,3.546040828489039e-05,,,
3450,3617587200,4299.006379,4.26235305,3.535825307919108e-05,,,
3500,3670016000,4356.180452,3.06757353,3.525785533637796e-05,,,
3550,3722444800,4453.778398,3.71527445,3.51591603613953e-05,,,
3600,3774873600,4511.124964,4.10501432,3.506211590137762e-05,,,
3650,3827302400,4568.446289,3.90675302,3.4966672004471204e-05,,,
3700,3879731200,4626.095256,3.39934628,3.487278088862399e-05,,,
3750,3932160000,4683.591034,5.11383756,3.478039681951567e-05,,,
3800,3984588800,4740.939786,4.86074274,3.468947599687909e-05,,,
3850,4037017600,4798.112113,4.64068893,3.45999764485338e-05,,,
3900,4089446400,4855.289667,5.82645646,3.451185793151611e-05,,,
3950,4141875200,4912.744842,4.4543289,3.442508183974615e-05,,,
4000,4194304000,4970.082202,5.34756739,3.4339611117723e-05,,,
4050,4246732800,5068.16697,4.80852545,3.4255410179784415e-05,,,
4100,4299161600,5125.558879,4.21536111,3.4172444834508656e-05,,,
4150,4351590400,5182.917455,6.35550635,3.409068221387261e-05,,,
4200,4404019200,5240.110398,3.5405474,3.40100907068136e-05,,,
4250,4456448000,5297.437636,5.0512649,3.3930639896872444e-05,,,
4300,4508876800,5355.008883,5.73469713,3.38523005036222e-05,,,
4350,4561305600,5412.212701,3.60674337,3.377504432761175e-05,,,
4400,4613734400,5469.844236,5.01688232,3.369884419857568e-05,,,
4450,4666163200,5527.016235,4.63196105,3.362367392668175e-05,,,
4500,4718592000,5584.56108,4.30863788,3.354950825660624e-05,,,
4550,4771020800,5682.238337,5.19070858,3.3476322824243414e-05,,,
4600,4823449600,5739.405956,6.27708734,3.340409411587108e-05,,,
4650,4875878400,5796.721249,3.71450169,3.333279942960794e-05,,,
4700,4928307200,5854.346778,4.1842947,3.326241683901076e-05,,,
4750,4980736000,5911.702229,4.94609425,3.319292515867148e-05,,,
4800,5033164800,5968.873876,4.95600779,3.312430391168442e-05,,,
4850,5085593600,6026.225137,5.74811516,3.305653329886373e-05,,,
4900,5138022400,6083.744496,4.5037858,3.2989594169599845e-05,,,
4950,5190451200,6141.093556,6.2108223,3.292346799425212e-05,,,
5000,5242880000,6198.449891,6.52218628,3.285813683798187e-05,,,
5050,5295308800,6296.446776,4.02575862,3.27935833359372e-05,,,
5100,5347737600,6353.80939,4.30990145,3.272979066970717e-05,,,
5150,5400166400,6411.140751,3.48791882,3.2666742544968576e-05,,,
5200,5452595200,6468.599985,4.35865829,3.260442317025411e-05,,,
5250,5505024000,6525.787579,5.63459429,3.254281723677531e-05,,,
5300,5557452800,6583.114408,4.91987967,3.2481909899238586e-05,,,
5350,5609881600,6640.59263,3.96828841,3.242168675759642e-05,,,
5400,5662310400,6697.965921,4.09243266,3.2362133839680054e-05,,,
5450,5714739200,6755.337133,4.34214539,3.230323758466316e-05,,,
5500,5767168000,6812.687319,4.18933159,3.22449848273097e-05,,,
5550,5819596800,6911.277112,4.03848265,3.2187362782962005e-05,,,
5600,5872025600,6968.58915,5.17745912,3.2130359033227796e-05,,,
5650,5924454400,7025.734356,3.9563621,3.2073961512327924e-05,,,
5700,5976883200,7083.165584,4.70765074,3.201815849406861e-05,,,
5750,6029312000,7140.479431,4.51451962,3.196293857940453e-05,,,
5800,6081740800,7197.787788,4.77317412,3.190829068456098e-05,,,
5850,6134169600,7255.108639,4.38892551,3.185420402968549e-05,,,
5900,6186598400,7312.549782,3.83964875,3.1800668128000896e-05,,,
5950,6239027200,7369.857586,3.90924952,3.1747672775433765e-05,,,
6000,6291456000,7427.137024,6.90462344,3.16952080406935e-05,,,
6050,6343884800,7525.667104,3.59080946,3.16432642557789e-05,,,
6100,6396313600,7582.807546,4.54993578,3.1591832006890585e-05,,,
6150,6448742400,7640.292142,4.67799474,3.1540902125728475e-05,,,
6200,6501171200,7697.584751,5.26772273,3.1490465681155365e-05,,,
6250,6553600000,7754.864332,3.2663165,3.1440513971208046e-05,,,
6300,6606028800,7812.311539,5.03659672,3.139103851543911e-05,,,
6350,6658457600,7869.589352,4.71224301,3.134203104757306e-05,,,
6400,6710886400,7926.919525,3.52407176,3.129348350846157e-05,,,
6450,6763315200,7984.250631,4.32108743,3.12453880393234e-05,,,
6500,6815744000,8041.552031,3.5411416,3.119773697525544e-05,,,
6550,6868172800,8139.897052,7.38715625,3.1150522839001936e-05,,,
6600,6920601600,8197.164256,6.22147435,3.110373833496983e-05,,,
6650,6973030400,8254.623066,5.30381715,3.1057376343478555e-05,,,
6700,7025459200,8311.766934,5.36164332,3.101142991523367e-05,,,
