assay,model_name,mean_pcc,delta_vs_ntv3_8m,delta_vs_ntv3_100m
PRO-cap,Lumina beat-v7 context-pyramid,0.4507784601821979,0.09669506915156845,0.05465863414351946
PRO-cap,NTv3 650M (pos),0.5078722923994065,0.153788901368777,0.111752466360728
PRO-cap,NTv3 650M (pre),0.4533191909392674,0.09923579990863796,0.05719936490058897
PRO-cap,NTv3 100M (pre),0.39611982603867846,0.04203643500804899,0.0
PRO-cap,Residual CNN 44M,0.436182231704394,0.08209884067376455,0.04006240566571556
PRO-cap,NTv3 8M (pre),0.35408339103062947,0.0,-0.04203643500804899
PRO-cap,Caduceus 7M,0.3624042948087056,0.00832090377807615,-0.03371553122997284
eCLIP,Lumina beat-v7 context-pyramid,0.5279816249559545,0.014344665363453135,2.5886252544626842e-05
eCLIP,NTv3 650M (pos),0.5836492339769999,0.07001227438449853,0.05569349527359002
eCLIP,NTv3 650M (pre),0.5653048396110535,0.05166788001855216,0.03734910090764365
eCLIP,NTv3 100M (pre),0.5279557387034098,0.014318779110908508,0.0
eCLIP,Residual CNN 44M,0.49668824474016826,-0.01694871485233307,-0.03126749396324158
eCLIP,NTv3 8M (pre),0.5136369595925013,0.0,-0.014318779110908508
eCLIP,Caduceus 7M,0.49185535013675685,-0.021781609455744477,-0.036100388566652986
ATAC-seq,Lumina beat-v7 context-pyramid,0.5882625604468863,0.011026559750068277,-0.04709361147897628
ATAC-seq,NTv3 650M (pos),0.7590972622235617,0.18186126152674364,0.12374109029769909
ATAC-seq,NTv3 650M (pre),0.6984118421872456,0.1211758414904276,0.06305567026138303
ATAC-seq,NTv3 100M (pre),0.6353561719258626,0.05812017122904456,0.0
ATAC-seq,Residual CNN 44M,0.6174390296141307,0.040203028917312644,-0.017917142311731915
ATAC-seq,NTv3 8M (pre),0.577236000696818,0.0,-0.05812017122904456
ATAC-seq,Caduceus 7M,0.5741672515869141,-0.0030687491099039566,-0.061188920338948516
Histone ChIP-seq,Lumina beat-v7 context-pyramid,0.6009921043385819,0.01834521783091181,-0.014733085108821098
Histone ChIP-seq,NTv3 650M (pos),0.7174710084994633,0.13482412199179328,0.10174581905206037
Histone ChIP-seq,NTv3 650M (pre),0.6591183717052141,0.0764714851975441,0.04339318225781119
Histone ChIP-seq,NTv3 100M (pre),0.615725189447403,0.033078302939732906,0.0
Histone ChIP-seq,Residual CNN 44M,0.5761944800615311,-0.006452406446138981,-0.03953070938587189
Histone ChIP-seq,NTv3 8M (pre),0.58264688650767,0.0,-0.033078302939732906
Histone ChIP-seq,Caduceus 7M,0.5703268274664879,-0.012320059041182163,-0.04539836198091507
total RNA-seq,Lumina beat-v7 context-pyramid,0.6114826506985991,0.004068828948382119,-0.01430745522706689
total RNA-seq,NTv3 650M (pos),0.6751083201832242,0.06769449843300723,0.049318214257558224
total RNA-seq,NTv3 650M (pre),0.6624826192855835,0.05506879753536653,0.03669251335991752
total RNA-seq,NTv3 100M (pre),0.625790105925666,0.01837628417544901,0.0
total RNA-seq,Residual CNN 44M,0.5592409173647562,-0.048172904385460735,-0.06654918856090974
total RNA-seq,NTv3 8M (pre),0.607413821750217,0.0,-0.01837628417544901
total RNA-seq,Caduceus 7M,0.5689911246299744,-0.0384226971202426,-0.05679898129569161
polyA plus RNA-seq,Lumina beat-v7 context-pyramid,0.5598779192788919,-0.05202828136846227,-0.07686947075292272
polyA plus RNA-seq,NTv3 650M (pos),0.7247386674086254,0.11283246676127123,0.08799127737681078
polyA plus RNA-seq,NTv3 650M (pre),0.6981578667958577,0.08625166614850355,0.0614104767640431
polyA plus RNA-seq,NTv3 100M (pre),0.6367473900318146,0.02484118938446045,0.0
polyA plus RNA-seq,Residual CNN 44M,0.566654031475385,-0.04525216917196917,-0.07009335855642962
polyA plus RNA-seq,NTv3 8M (pre),0.6119062006473541,0.0,-0.02484118938446045
polyA plus RNA-seq,Caduceus 7M,0.5389205664396286,-0.07298563420772552,-0.09782682359218597
