dataset,assay_type,track_name_clean,mlp,baseline_repro,delta
ENCSR935RNW_P,PRO-cap,ENCSR935RNW_P,0.4126960523182172,0.352146519920939,0.06054953239727823
ENCSR100LIJ_P,PRO-cap,ENCSR100LIJ_P,0.407902745174176,0.3488590439915329,0.05904370118264313
ENCSR799DGV_P,PRO-cap,ENCSR799DGV_P,0.41333330088142706,0.35447555645257584,0.05885774442885122
ENCSR100LIJ_M,PRO-cap,ENCSR100LIJ_M,0.4118556302338835,0.3572073019919189,0.05464832824196458
ENCSR935RNW_M,PRO-cap,ENCSR935RNW_M,0.4088164159630604,0.3545597416253371,0.0542566743377233
ENCSR799DGV_M,PRO-cap,ENCSR799DGV_M,0.4103443496269683,0.3573638748908317,0.052980474736136596
ENCSR046BCI_P,PRO-cap,ENCSR046BCI_P,0.3496460092963962,0.29736757974778916,0.052278429548607064
ENCSR046BCI_M,PRO-cap,ENCSR046BCI_M,0.38486400603645277,0.33273169875513214,0.05213230728132062
ENCSR321PWZ_M,eCLIP,ENCSR321PWZ_M,0.5978352666259119,0.5582914542840309,0.03954381234188098
ENCSR321PWZ_P,eCLIP,ENCSR321PWZ_P,0.619228719919559,0.5943184561242448,0.024910263795314136
ENCSR962OTG,Histone ChIP-seq,ENCSR962OTG,0.8423883856852126,0.819339139571722,0.023049246113490574
ENCSR484LTQ_M,eCLIP,ENCSR484LTQ_M,0.41699994357885445,0.39508556853715826,0.021914375041696188
ENCSR862QCH_M,eCLIP,ENCSR862QCH_M,0.455032441641893,0.4356792208178461,0.01935322082404689
ENCSR862QCH_P,eCLIP,ENCSR862QCH_P,0.46822401226918686,0.45192716296002033,0.016296849309166528
ENCSR527JGN_M,polyA plus RNA-seq,ENCSR527JGN_M,0.424430901639144,0.4081933211678693,0.01623758047127466
ENCSR484LTQ_P,eCLIP,ENCSR484LTQ_P,0.41831304201547004,0.4040069587670902,0.014306083248379842
ENCSR754DRC,Histone ChIP-seq,ENCSR754DRC,0.44199051256962735,0.42784136088975605,0.014149151679871297
ENCSR701YIC,total RNA-seq,ENCSR701YIC,0.489629247178357,0.4759096418087903,0.013719605369566679
ENCSR527JGN_P,polyA plus RNA-seq,ENCSR527JGN_P,0.6171454704899043,0.604377695440301,0.012767775049603358
ENCSR814RGG,ATAC-seq,ENCSR814RGG,0.6373869308797507,0.6249336184201071,0.01245331245964365
ENCSR325NFE,ATAC-seq,ENCSR325NFE,0.6668659847100363,0.6547503431920723,0.01211564151796407
ENCSR619DQO_M,total RNA-seq,ENCSR619DQO_M,0.5941110046568748,0.5841861153033664,0.009924889353508437
ENCSR628PLS,ATAC-seq,ENCSR628PLS,0.4120336167534606,0.4032663463501069,0.008767270403353733
ENCSR487QSB,ATAC-seq,ENCSR487QSB,0.5005270941915398,0.4920472875395038,0.00847980665203607
ENCSR154HRN_P,eCLIP,ENCSR154HRN_P,0.4617315684879569,0.4548252842887309,0.006906284199225954
ENCSR249ROI_M,eCLIP,ENCSR249ROI_M,0.5381670293146618,0.5314732004472958,0.006693828867365914
ENCSR249ROI_P,eCLIP,ENCSR249ROI_P,0.5273436604112505,0.5208024048128314,0.006541255598419116
ENCSR114HGS_M,PRO-cap,ENCSR114HGS_M,0.2678217259502457,0.26220930853669533,0.005612417413550397
ENCSR114HGS_P,PRO-cap,ENCSR114HGS_P,0.29710411429071293,0.292722833810217,0.004381280480495908
ENCSR410DWV,ATAC-seq,ENCSR410DWV,0.5020805345839319,0.4979666562060154,0.004113878377916491
ENCSR154HRN_M,eCLIP,ENCSR154HRN_M,0.4421928233910252,0.43878359414893614,0.0034092292420890846
ENCSR619DQO_P,total RNA-seq,ENCSR619DQO_P,0.619342506513953,0.6170201349599177,0.002322371554035252
ENCSR863PSM,Histone ChIP-seq,ENCSR863PSM,0.4894798732932522,0.49310345656418264,-0.0036235832709304305
ENCSR682BFG,Histone ChIP-seq,ENCSR682BFG,0.45127362161727635,0.4576829753407918,-0.006409353723515421
