rank,model_name,overall_mean_pcc,delta_vs_lumina,n_runs,n_track_scores
1,NTv3 650M (pos),0.6192761148307837,0.08730300125361123,3,102
2,NTv3 650M (pre),0.5793687233737871,0.04739560979661461,3,102
3,Lumina beat-v7 context-pyramid,0.5319731135771725,0.0,1,34
4,NTv3 100M (pre),0.5303324224317775,-0.0016406911453950013,3,102
5,Residual CNN 44M,0.5156384896413952,-0.016334623935777226,3,102
6,NTv3 8M (pre),0.49823602712621873,-0.033737086450953746,3,102
7,Caduceus 7M,0.48469278011836253,-0.04728033345880994,3,102
8,Residual CNN 700k,0.43885703983844493,-0.09311607373872755,3,102
9,Evo2 1B,0.40909185085226507,-0.1228812627249074,1,34
10,BPNet arch. 6M,0.3938671779983184,-0.1381059355788541,3,102
11,NTv2 500M,0.3819580345469362,-0.15001507903023625,3,102
12,HyenaDNA 7M,0.3584319529872314,-0.17354116058994107,3,102
13,BPNet arch. 100k,0.3062272822009582,-0.2257458313762143,3,102
