datasets,assay_type,lumina,ntv3_8m_pre,delta,winner
ENCSR527JGN_M,polyA plus RNA-seq,0.4481987788446988,0.6173402667045593,-0.16914148785986055,NTv3 8M
ENCSR682BFG,Histone ChIP-seq,0.49354585948838,0.5395470062891642,-0.04600114680078421,NTv3 8M
ENCSR154HRN_M,eCLIP,0.4748340880228558,0.5172521273295084,-0.04241803930665261,NTv3 8M
ENCSR410DWV,ATAC-seq,0.5288970610560942,0.5687559644381205,-0.039858903382026245,NTv3 8M
ENCSR249ROI_M,eCLIP,0.5720246263850233,0.6058819890022278,-0.03385736261720451,NTv3 8M
ENCSR863PSM,Histone ChIP-seq,0.5046453902428022,0.5204017559687296,-0.015756365725927424,NTv3 8M
ENCSR701YIC,total RNA-seq,0.5265146583871582,0.5406862497329712,-0.014171591345813028,NTv3 8M
ENCSR619DQO_M,total RNA-seq,0.640266687658715,0.6490852236747742,-0.008818536016059197,NTv3 8M
ENCSR249ROI_P,eCLIP,0.5510692398006681,0.5550947984059652,-0.004025558605297075,NTv3 8M
ENCSR484LTQ_M,eCLIP,0.4423964385700021,0.4414568344751993,0.000939604094802815,Lumina
ENCSR114HGS_M,PRO-cap,0.3088255244711738,0.30707681179046625,0.0017487126807075315,Lumina
ENCSR325NFE,ATAC-seq,0.7016748459101176,0.6989664435386658,0.002708402371451868,Lumina
ENCSR628PLS,ATAC-seq,0.4348586909007272,0.4321133295694987,0.002745361331228491,Lumina
ENCSR487QSB,ATAC-seq,0.5230414205407266,0.5195838014284769,0.0034576191122496214,Lumina
ENCSR814RGG,ATAC-seq,0.6720150213644104,0.6667604645093282,0.0052545568550821375,Lumina
ENCSR154HRN_P,eCLIP,0.4797768215144847,0.473195880651474,0.006580940863010698,Lumina
ENCSR619DQO_P,total RNA-seq,0.6412092544512997,0.6324699918429056,0.008739262608394083,Lumina
ENCSR862QCH_M,eCLIP,0.5019536167960311,0.48564595977465314,0.016307657021377986,Lumina
ENCSR962OTG,Histone ChIP-seq,0.8578073310472394,0.8364120324452718,0.02139529860196754,Lumina
ENCSR114HGS_P,PRO-cap,0.319814653674406,0.29464905460675556,0.025165599067650424,Lumina
ENCSR754DRC,Histone ChIP-seq,0.4679132370757247,0.43422675132751465,0.03368648574821004,Lumina
ENCSR527JGN_P,polyA plus RNA-seq,0.6406213010193783,0.6064721345901489,0.03414916642922938,Lumina
ENCSR484LTQ_P,eCLIP,0.434977844161877,0.3995959162712097,0.0353819278906673,Lumina
ENCSR862QCH_P,eCLIP,0.5023142490777277,0.4609026213486989,0.04141162772902879,Lumina
ENCSR321PWZ_P,eCLIP,0.642804464600895,0.598789632320404,0.04401483228049097,Lumina
ENCSR321PWZ_M,eCLIP,0.643736809198464,0.5985538363456726,0.04518297285279138,Lumina
ENCSR046BCI_P,PRO-cap,0.4210936969366416,0.3352603216965993,0.08583337524004231,Lumina
ENCSR799DGV_P,PRO-cap,0.4835939002011465,0.3841682771841685,0.099425623016978,Lumina
ENCSR935RNW_P,PRO-cap,0.4897197763159227,0.3889477252960205,0.10077205101990216,Lumina
ENCSR100LIJ_P,PRO-cap,0.4891472586319406,0.3844960927963257,0.1046511658356149,Lumina
ENCSR046BCI_M,PRO-cap,0.4580339920020712,0.3458972473939259,0.11213674460814527,Lumina
ENCSR100LIJ_M,PRO-cap,0.4942048721981136,0.37455639243125916,0.11964847976685444,Lumina
ENCSR935RNW_M,PRO-cap,0.4905181634030595,0.36430386702219636,0.12621429638086312,Lumina
ENCSR799DGV_M,PRO-cap,0.4891357198750777,0.36147812008857727,0.12765759978650043,Lumina
