step,tokens_seen,elapsed_seconds,loss,learning_rate
50,52428800,136.682813,4.30658469,1.3344481605351173e-05
100,104857600,195.708626,5.40839597,1.668896321070234e-05
150,157286400,254.714649,5.45956376,2.0033444816053514e-05
200,209715200,313.879145,4.97854673,2.3377926421404685e-05
250,262144000,372.876418,3.66937159,2.6722408026755852e-05
300,314572800,432.505876,6.73410828,3.0066889632107026e-05
350,367001600,491.626727,5.37558585,3.34113712374582e-05
400,419430400,550.62466,4.55918843,3.675585284280937e-05
450,471859200,609.62113,5.64178578,4.010033444816054e-05
500,524288000,668.640696,4.7971681,4.3444816053511704e-05
550,576716800,785.410436,6.09453795,4.6789297658862885e-05
600,629145600,844.455747,3.31044566,4.995056427307455e-05
650,681574400,904.437056,5.69092053,4.916768634634849e-05
700,734003200,963.689161,4.1410293,4.845371391271287e-05
750,786432000,1022.861704,4.59769109,4.779827702913026e-05
800,838860800,1082.039656,6.75803016,4.719313155282348e-05
850,891289600,1141.216282,3.63533796,4.663162141392431e-05
900,943718400,1200.394285,5.24256051,4.610829977304328e-05
950,996147200,1259.773553,4.02863873,4.5618656085982576e-05
1000,1048576000,1319.774567,4.78042623,4.5158915568657304e-05
1050,1101004800,1422.414404,5.75094995,4.472588927057007e-05
1100,1153433600,1481.60143,3.81624139,4.4316860230766184e-05
1150,1205862400,1540.783499,4.66731724,4.392949581859855e-05
1200,1258291200,1599.961587,6.29191206,4.356177938141798e-05
1250,1310720000,1659.13465,3.79033051,4.3211956334309225e-05
1300,1363148800,1719.009582,6.14359269,4.287849119513471e-05
1350,1415577600,1778.659764,3.87554067,4.2560033014512184e-05
1400,1468006400,1837.819499,5.38297978,4.2255387315553166e-05
1450,1520435200,1896.983094,5.88672464,4.196349313267817e-05
1500,1572864000,1956.078895,4.54439402,4.168340408188106e-05
1550,1625292800,2058.33019,3.68949704,4.1414272645952975e-05
1600,1677721600,2117.383044,4.47164761,4.115533704415691e-05
1650,1730150400,2177.418143,5.90673833,4.0905910195053085e-05
1700,1782579200,2236.73363,4.69923301,4.066537038641842e-05
1750,1835008000,2295.794343,4.15321448,4.043315334651026e-05
1800,1887436800,2354.852818,4.58567262,4.020874547273901e-05
1850,1939865600,2413.906696,4.42950908,3.999167802178308e-05
1900,1992294400,2472.967083,3.81315856,3.978152210269021e-05
1950,2044723200,2532.019736,3.95145586,3.957788434405425e-05
2000,2097152000,2592.208141,4.59279405,3.938040312978463e-05
2050,2149580800,2694.859818,4.91387419,3.918874531668454e-05
2100,2202009600,2753.909002,3.77241915,3.900260336206764e-05
2150,2254438400,2812.94072,4.14978115,3.88216928017679e-05
2200,2306867200,2871.971823,4.71837046,3.8645750028742727e-05
2250,2359296000,2931.018447,4.89600743,3.847453033050521e-05
2300,2411724800,2990.519047,3.221089,3.830780615021282e-05
2350,2464153600,3050.240101,5.05291386,3.814536554167188e-05
2400,2516582400,3109.525662,5.78807452,3.798701079301339e-05
2450,2569011200,3168.600918,4.62211354,3.7832557197534416e-05
2500,2621440000,3227.659823,5.56951961,3.768183195331922e-05
2550,2673868800,3330.049515,3.65932233,3.7534673175869496e-05
2600,2726297600,3389.102403,3.47546271,3.7390929010172473e-05
2650,2778726400,3449.075133,4.3459997,3.7250456830492594e-05
2700,2831155200,3508.306484,3.9184578,3.7113122517745076e-05
2750,2883584000,3567.604237,5.02515306,3.697879980564663e-05
2800,2936012800,3626.655047,3.44453827,3.6847369687978114e-05
2850,2988441600,3685.706304,3.53285339,3.67187198802685e-05
2900,3040870400,3744.767863,4.55115897,3.65927443300456e-05
2950,3093299200,3804.078973,4.53955975,3.6469342770517894e-05
3000,3145728000,3863.830338,4.0621597,3.6348420313171825e-05
3050,3198156800,3965.492681,3.44032172,3.6229887075305486e-05
3100,3250585600,4024.770553,5.18263931,3.611365783898408e-05
3150,3303014400,4083.824961,5.02525863,3.599965173830699e-05
3200,3355443200,4142.880977,5.02106678,3.5887791972227894e-05
3250,3407872000,4201.935353,3.46977802,3.577800554047683e-05
3300,3460300800,4261.272295,4.45024579,3.567022300040206e-05
3350,3512729600,4321.076247,3.66858536,3.556437824278518e-05
3400,3565158400,4380.127205,4.90601075,3.546040828489039e-05
3450,3617587200,4439.184506,4.26286058,3.535825307919108e-05
3500,3670016000,4498.446621,3.06880479,3.525785533637796e-05
3550,3722444800,4599.972206,3.71554237,3.51591603613953e-05
3600,3774873600,4659.30551,4.10607424,3.506211590137762e-05
3650,3827302400,4718.688775,3.90575913,3.4966672004471204e-05
3700,3879731200,4778.118429,3.39922083,3.487278088862399e-05
3750,3932160000,4837.139716,5.11653507,3.478039681951567e-05
3800,3984588800,4896.166665,4.85876073,3.468947599687909e-05
3850,4037017600,4955.402818,4.6409905,3.45999764485338e-05
3900,4089446400,5014.574121,5.82516962,3.451185793151611e-05
3950,4141875200,5074.031068,4.45237099,3.442508183974615e-05
4000,4194304000,5133.512915,5.3460694,3.4339611117723e-05
4050,4246732800,5235.356234,4.80300064,3.4255410179784415e-05
4100,4299161600,5294.395502,4.21611239,3.4172444834508656e-05
4150,4351590400,5353.438161,6.35234524,3.409068221387261e-05
4200,4404019200,5412.699446,3.54269427,3.40100907068136e-05
4250,4456448000,5472.108156,5.0534365,3.3930639896872444e-05
4300,4508876800,5531.571321,5.73431215,3.38523005036222e-05
4350,4561305600,5591.002815,3.6077905,3.377504432761175e-05
4400,4613734400,5650.110306,5.01302545,3.369884419857568e-05
4450,4666163200,5709.215621,4.6345408,3.362367392668175e-05
4500,4718592000,5768.273414,4.30987182,3.354950825660624e-05
4550,4771020800,5870.19056,5.18924118,3.3476322824243414e-05
4600,4823449600,5929.710829,6.27662079,3.340409411587108e-05
