rank,display_name,kind,mean_score,details
1,NTv3 650M (pos),rival,0.6192761148307837,"public leaderboard, n=34 grouped tracks"
2,NTv3 650M (pre),rival,0.5793687233737871,"public leaderboard, n=34 grouped tracks"
3,NTv3 100M (pre),rival,0.5303324224317775,"public leaderboard, n=34 grouped tracks"
4,Residual CNN 44M,rival,0.5156384896413952,"public leaderboard, n=34 grouped tracks"
5,NTv3 8M (pre),rival,0.49823602712621873,"public leaderboard, n=34 grouped tracks"
6,Caduceus 7M,rival,0.48469278011836253,"public leaderboard, n=34 grouped tracks"
7,Lumina beat-v7 MLP-head [beat-v7-mlp-head-seed0],ours,0.482298192417342,"beat-v7, head=mlp"
8,Lumina beat-v7 [ntv3-beat-v7-official-human-functional-seed0-r2],ours,0.4614521841197114,"beat-v7, head=linear"
9,Lumina beat-v7 official-hidden repro [beat-v7-official-hidden-repro-seed0],ours,0.4604545546372252,"beat-v7, head=linear"
10,Residual CNN 700k,rival,0.43885703983844493,"public leaderboard, n=34 grouped tracks"
11,Lumina beat-v6 [ntv3-beat-v6-official-human-functional-seed0-r2],ours,0.42446572513952086,"beat-v6, head=linear"
12,Evo2 1B,rival,0.40909185085226507,"public leaderboard, n=34 grouped tracks"
13,BPNet arch. 6M,rival,0.3938671779983184,"public leaderboard, n=34 grouped tracks"
14,NTv2 500M,rival,0.3819580345469362,"public leaderboard, n=34 grouped tracks"
15,HyenaDNA 7M,rival,0.3584319529872314,"public leaderboard, n=34 grouped tracks"
16,BPNet arch. 100k,rival,0.3062272822009582,"public leaderboard, n=34 grouped tracks"
17,Lumina beat-v5 decoder-coupled stable-nosync [beat-v5-dec-coupled],ours,0.24504309604462093,"beat-v5, head=linear"
