dataset,assay_type,score,delta_vs_mlp,delta_vs_linear,public_best_model,public_best_score,gap_to_public_best,track_name_clean
ENCSR046BCI_M,PRO-cap,0.35528130422634935,-0.029582701810103418,0.022549605471217204,NTv3 650M (pos),0.5162550707658131,0.16097376653946377,ENCSR046BCI_M
ENCSR046BCI_P,PRO-cap,0.3172691125687201,-0.03237689672767613,0.019901532820930934,NTv3 650M (pos),0.49562163154284156,0.17835251897412147,ENCSR046BCI_P
ENCSR100LIJ_M,PRO-cap,0.37864781700219174,-0.03320781323169175,0.02144051501027283,NTv3 650M (pos),0.5658169786135355,0.18716916161134378,ENCSR100LIJ_M
ENCSR100LIJ_P,PRO-cap,0.3699845420945997,-0.03791820307957633,0.021125498103066798,NTv3 650M (pos),0.5597943266232809,0.1898097845286812,ENCSR100LIJ_P
ENCSR114HGS_M,PRO-cap,0.2670325638959915,-0.0007891620542542221,0.004823255359296175,NTv3 650M (pos),0.3726124366124471,0.10557987271645558,ENCSR114HGS_M
ENCSR114HGS_P,PRO-cap,0.29353656062018485,-0.0035675536705280786,0.0008137268099678296,NTv3 650M (pos),0.35366806387901306,0.06013150325882821,ENCSR114HGS_P
ENCSR154HRN_M,eCLIP,0.44290626720445186,0.0007134438134266397,0.004122673055515724,NTv3 650M (pos),0.550418496131897,0.10751222892744511,ENCSR154HRN_M
ENCSR154HRN_P,eCLIP,0.4610155265632717,-0.0007160419246851624,0.0061902422745407915,NTv3 650M (pos),0.5261839429537455,0.06516841639047377,ENCSR154HRN_P
ENCSR249ROI_M,eCLIP,0.5355171018725574,-0.0026499274421043495,0.004043901425261565,NTv3 650M (pos),0.6551225185394287,0.1196054166668713,ENCSR249ROI_M
ENCSR249ROI_P,eCLIP,0.526129243801564,-0.001214416609686464,0.005326838988732652,NTv3 650M (pos),0.599952499071757,0.07382325527019296,ENCSR249ROI_P
ENCSR321PWZ_M,eCLIP,0.5739269150886148,-0.02390835153729709,0.01563546080458389,NTv3 650M (pos),0.7054780522982279,0.1315511372096131,ENCSR321PWZ_M
