step,tokens_seen,elapsed_seconds,loss,learning_rate,head_learning_rate,decoder_learning_rate,backbone_learning_rate
50,52428800,135.870557,4.31913461,2.266666666666667e-05,2.266666666666667e-05,0.0,0.0
100,104857600,198.619707,5.46445082,2.5333333333333337e-05,2.5333333333333337e-05,0.0,0.0
150,157286400,261.375663,5.54333881,2.8000000000000003e-05,2.8000000000000003e-05,0.0,0.0
200,209715200,324.138114,5.12930787,3.066666666666667e-05,3.066666666666667e-05,0.0,0.0
250,262144000,386.901141,3.7726841,3.333333333333334e-05,3.333333333333334e-05,0.0,0.0
300,314572800,449.587276,6.99286654,3.600000000000001e-05,3.600000000000001e-05,0.0,0.0
350,367001600,512.254316,5.58589308,3.8666666666666674e-05,3.8666666666666674e-05,0.0,0.0
400,419430400,574.920603,4.74596253,4.133333333333333e-05,4.133333333333333e-05,0.0,0.0
450,471859200,637.584092,5.88555569,4.4000000000000006e-05,4.4000000000000006e-05,0.0,0.0
500,524288000,700.249603,5.00484412,4.666666666666667e-05,4.666666666666667e-05,0.0,0.0
550,576716800,839.79878,6.2433102,4.933333333333334e-05,4.933333333333334e-05,0.0,0.0
600,629145600,902.557651,3.43503055,5.2000000000000004e-05,5.2000000000000004e-05,0.0,0.0
650,681574400,965.286654,5.91820248,5.466666666666666e-05,5.466666666666666e-05,0.0,0.0
700,734003200,1027.95955,4.26943522,5.7333333333333336e-05,5.7333333333333336e-05,0.0,0.0
750,786432000,1090.6305,4.75426538,6.0000000000000015e-05,6.0000000000000015e-05,0.0,0.0
800,838860800,1153.299245,7.00657277,6.266666666666667e-05,6.266666666666667e-05,0.0,0.0
850,891289600,1216.090375,3.73431256,6.533333333333334e-05,6.533333333333334e-05,0.0,0.0
900,943718400,1278.756683,5.35801563,6.8e-05,6.8e-05,0.0,0.0
950,996147200,1341.423207,4.22661629,7.066666666666669e-05,7.066666666666669e-05,0.0,0.0
1000,1048576000,1404.091716,4.99700789,7.333333333333334e-05,7.333333333333334e-05,7.333333333333335e-06,3.6666666666666674e-06
1050,1101004800,1530.135668,5.91523895,7.6e-05,7.6e-05,7.600000000000001e-06,3.8000000000000005e-06
1100,1153433600,1593.008836,3.91556661,7.866666666666666e-05,7.866666666666666e-05,7.866666666666667e-06,3.9333333333333335e-06
1150,1205862400,1655.880246,4.74989516,8.133333333333335e-05,8.133333333333335e-05,8.133333333333336e-06,4.066666666666668e-06
1200,1258291200,1718.670027,6.62944005,8.400000000000001e-05,8.400000000000001e-05,8.400000000000001e-06,4.2000000000000004e-06
1250,1310720000,1781.459764,3.93361624,8.666666666666667e-05,8.666666666666667e-05,8.666666666666668e-06,4.333333333333334e-06
1300,1363148800,1844.256722,6.43381337,8.933333333333334e-05,8.933333333333334e-05,8.933333333333333e-06,4.4666666666666665e-06
1350,1415577600,1907.042916,3.99179404,9.200000000000001e-05,9.200000000000001e-05,9.200000000000002e-06,4.600000000000001e-06
1400,1468006400,1969.831016,5.53896291,9.466666666666669e-05,9.466666666666669e-05,9.466666666666669e-06,4.733333333333334e-06
1450,1520435200,2032.619054,6.08510447,9.733333333333335e-05,9.733333333333335e-05,9.733333333333334e-06,4.866666666666667e-06
1500,1572864000,2095.409116,4.62988328,9.998214427266712e-05,9.998214427266712e-05,9.998214427266712e-06,4.999107213633356e-06
1550,1625292800,2221.143277,3.77102065,9.910811924270306e-05,9.910811924270306e-05,9.910811924270306e-06,4.955405962135153e-06
1600,1677721600,2284.134535,4.62445457,9.826910957786886e-05,9.826910957786886e-05,9.826910957786887e-06,4.913455478893444e-06
1650,1730150400,2347.311936,6.20281719,9.746268284957294e-05,9.746268284957294e-05,9.746268284957294e-06,4.873134142478647e-06
1700,1782579200,2410.12784,4.86189887,9.668664288589963e-05,9.668664288589963e-05,9.668664288589962e-06,4.834332144294981e-06
1750,1835008000,2472.853688,4.29868039,9.593900066615705e-05,9.593900066615705e-05,9.593900066615705e-06,4.796950033307853e-06
1800,1887436800,2535.576115,4.70215022,9.521794951721688e-05,9.521794951721688e-05,9.521794951721687e-06,4.760897475860844e-06
1850,1939865600,2598.302176,4.60029431,9.452184387575886e-05,9.452184387575886e-05,9.452184387575887e-06,4.726092193787943e-06
1900,1992294400,2661.02436,3.95306502,9.384918102263051e-05,9.384918102263051e-05,9.384918102263052e-06,4.692459051131526e-06
1950,2044723200,2723.754275,4.08430415,9.319858530722078e-05,9.319858530722078e-05,9.319858530722078e-06,4.659929265361039e-06
2000,2097152000,2786.473988,4.76569379,9.256879446814062e-05,9.256879446814062e-05,9.256879446814063e-06,4.628439723407031e-06
2050,2149580800,2912.124223,5.06081963,9.195864772691144e-05,9.195864772691144e-05,9.195864772691145e-06,4.5979323863455725e-06
2100,2202009600,2974.989928,3.92840183,9.136707538779146e-05,9.136707538779146e-05,9.136707538779146e-06,4.568353769389573e-06
2150,2254438400,3037.859997,4.27916804,9.079308972235644e-05,9.079308972235644e-05,9.079308972235645e-06,4.5396544861178225e-06
2200,2306867200,3100.731994,4.94511152,9.023577695432013e-05,9.023577695432013e-05,9.023577695432013e-06,4.511788847716007e-06
2250,2359296000,3163.611048,5.01759751,8.969429019011995e-05,8.969429019011995e-05,8.969429019011995e-06,4.484714509505998e-06
2300,2411724800,3226.486667,3.31892265,8.916784316539174e-05,8.916784316539174e-05,8.916784316539174e-06,4.458392158269587e-06
2350,2464153600,3289.295244,5.25320439,8.865570469769502e-05,8.865570469769502e-05,8.865570469769504e-06,4.432785234884752e-06
2400,2516582400,3352.021221,6.03049953,8.815719375257594e-05,8.815719375257594e-05,8.815719375257596e-06,4.407859687628798e-06
2450,2569011200,3414.746328,4.78634667,8.767167504393756e-05,8.767167504393756e-05,8.767167504393757e-06,4.383583752196879e-06
2500,2621440000,3477.471207,5.68111782,8.719855510125736e-05,8.719855510125736e-05,8.719855510125736e-06,4.359927755062868e-06
2550,2673868800,3602.971221,3.79027463,8.673727874587372e-05,8.673727874587372e-05,8.673727874587371e-06,4.336863937293686e-06
2600,2726297600,3665.837926,3.57680103,8.628732592669374e-05,8.628732592669374e-05,8.628732592669375e-06,4.3143662963346876e-06
2650,2778726400,3728.698214,4.50764836,8.584820887252975e-05,8.584820887252975e-05,8.584820887252976e-06,4.292410443626488e-06
2700,2831155200,3791.552514,4.03804884,8.541946952406919e-05,8.541946952406919e-05,8.541946952406918e-06,4.270973476203459e-06
2750,2883584000,3854.408269,5.22405604,8.500067721340324e-05,8.500067721340324e-05,8.500067721340324e-06,4.250033860670162e-06
2800,2936012800,3917.240044,3.56803338,8.45914265632293e-05,8.45914265632293e-05,8.45914265632293e-06,4.229571328161465e-06
2850,2988441600,3980.091187,3.62794036,8.419133558141951e-05,8.419133558141951e-05,8.419133558141951e-06,4.209566779070976e-06
2900,3040870400,4042.81749,4.74527037,8.38000439297133e-05,8.38000439297133e-05,8.380004392971331e-06,4.1900021964856654e-06
2950,3093299200,4105.534588,4.68911605,8.341721134792347e-05,8.341721134792347e-05,8.341721134792348e-06,4.170860567396174e-06
3000,3145728000,4168.249225,4.22428618,8.304251621731409e-05,8.304251621731409e-05,8.30425162173141e-06,4.152125810865705e-06
3050,3198156800,4294.184708,3.54485235,8.267565424876597e-05,8.267565424876597e-05,8.267565424876596e-06,4.133782712438298e-06
3100,3250585600,4357.040735,5.37101667,8.231633728304213e-05,8.231633728304213e-05,8.231633728304213e-06,4.115816864152107e-06
3150,3303014400,4419.897819,5.17184588,8.196429219193723e-05,8.196429219193723e-05,8.196429219193723e-06,4.098214609596862e-06
3200,3355443200,4482.757127,5.2012189,8.161925987037602e-05,8.161925987037602e-05,8.161925987037602e-06,4.080962993518801e-06
3250,3407872000,4545.617527,3.54048256,8.128099431064235e-05,8.128099431064235e-05,8.128099431064235e-06,4.0640497155321175e-06
3300,3460300800,4608.485648,4.63367355,8.09492617508973e-05,8.09492617508973e-05,8.09492617508973e-06,4.047463087544865e-06
3350,3512729600,4671.425063,3.79093881,8.062383989099961e-05,8.062383989099961e-05,8.06238398909996e-06,4.03119199454998e-06
3400,3565158400,4734.363223,5.11636626,8.030451716939225e-05,8.030451716939225e-05,8.030451716939227e-06,4.015225858469613e-06
3450,3617587200,4797.300199,4.42900424,7.999109209547978e-05,7.999109209547978e-05,7.999109209547978e-06,3.999554604773989e-06
3500,3670016000,4860.235959,3.11056149,7.968337263250199e-05,7.968337263250199e-05,7.9683372632502e-06,3.9841686316251e-06
3550,3722444800,4985.825565,3.88305039,7.93811756264245e-05,7.93811756264245e-05,7.93811756264245e-06,3.969058781321225e-06
3600,3774873600,5049.17027,4.26942839,7.908432627681963e-05,7.908432627681963e-05,7.908432627681963e-06,3.954216313840981e-06
3650,3827302400,5112.102263,4.02946068,7.879265764611572e-05,7.879265764611572e-05,7.879265764611573e-06,3.9396328823057865e-06
3700,3879731200,5174.982612,3.48938689,7.850601020394852e-05,7.850601020394852e-05,7.850601020394853e-06,3.925300510197426e-06
3750,3932160000,5237.831665,5.41281364,7.822423140366796e-05,7.822423140366796e-05,7.822423140366796e-06,3.911211570183398e-06
3800,3984588800,5300.684797,5.14450734,7.794717528833553e-05,7.794717528833553e-05,7.794717528833553e-06,3.897358764416777e-06
3850,4037017600,5363.534405,4.88404004,7.767470212380091e-05,7.767470212380091e-05,7.767470212380092e-06,3.883735106190046e-06
3900,4089446400,5426.399468,6.03244096,7.740667805667188e-05,7.740667805667188e-05,7.740667805667189e-06,3.870333902833594e-06
3950,4141875200,5489.252166,4.62000244,7.714297479519342e-05,7.714297479519342e-05,7.714297479519343e-06,3.857148739759671e-06
4000,4194304000,5552.111332,5.55423065,7.688346931123361e-05,7.688346931123361e-05,7.688346931123361e-06,3.8441734655616804e-06
4050,4246732800,5677.832938,4.9917063,7.662804356173538e-05,7.662804356173538e-05,7.662804356173539e-06,3.8314021780867696e-06
4100,4299161600,5740.68134,4.42099971,7.63765842281401e-05,7.63765842281401e-05,7.637658422814009e-06,3.818829211407004e-06
4150,4351590400,5803.532709,6.74625082,7.612898247242e-05,7.612898247242e-05,7.6128982472419995e-06,3.8064491236209998e-06
4200,4404019200,5866.390346,3.67740537,7.588513370847484e-05,7.588513370847484e-05,7.588513370847485e-06,3.7942566854237423e-06
4250,4456448000,5929.247624,5.26437034,7.564493738775507e-05,7.564493738775507e-05,7.564493738775508e-06,3.782246869387754e-06
4300,4508876800,5992.105903,6.0337628,7.54082967980706e-05,7.54082967980706e-05,7.54082967980706e-06,3.77041483990353e-06
4350,4561305600,6054.965234,3.7084223,7.517511887463107e-05,7.517511887463107e-05,7.517511887463107e-06,3.7587559437315534e-06
4400,4613734400,6117.822551,5.27294654,7.494531402244318e-05,7.494531402244318e-05,7.494531402244318e-06,3.747265701122159e-06
4450,4666163200,6180.68,4.88124297,7.471879594926192e-05,7.471879594926192e-05,7.471879594926192e-06,3.735939797463096e-06
4500,4718592000,6243.543409,4.42437233,7.449548150835779e-05,7.449548150835779e-05,7.449548150835779e-06,3.7247740754178896e-06
4550,4771020800,6369.214574,5.47069427,7.427529055042145e-05,7.427529055042145e-05,7.4275290550421455e-06,3.7137645275210727e-06
4600,4823449600,6432.060543,6.61468823,7.405814578398065e-05,7.405814578398065e-05,7.405814578398065e-06,3.7029072891990326e-06
4650,4875878400,6494.767042,3.83566155,7.384397264375378e-05,7.384397264375378e-05,7.384397264375378e-06,3.692198632187689e-06
4700,4928307200,6557.47445,4.31124708,7.363269916640866e-05,7.363269916640866e-05,7.363269916640867e-06,3.6816349583204334e-06
4750,4980736000,6620.190479,5.10013637,7.34242558732364e-05,7.34242558732364e-05,7.342425587323639e-06,3.6712127936618197e-06
4800,5033164800,6682.918902,5.13353176,7.321857565928673e-05,7.321857565928673e-05,7.321857565928674e-06,3.660928782964337e-06
4850,5085593600,6745.645719,5.98065241,7.301559368854652e-05,7.301559368854652e-05,7.301559368854652e-06,3.650779684427326e-06
4900,5138022400,6808.518509,4.64805375,7.281524729477263e-05,7.281524729477263e-05,7.281524729477263e-06,3.6407623647386316e-06
