step,tokens_seen,elapsed_seconds,loss,learning_rate
50,52428800,109.513953,4.30005696,1.3344481605351173e-05
100,104857600,143.998205,5.42680331,1.668896321070234e-05
150,157286400,178.485295,5.49234104,2.0033444816053514e-05
200,209715200,212.97857,5.02230237,2.3377926421404685e-05
250,262144000,247.470805,3.69046266,2.6722408026755852e-05
300,314572800,281.965221,6.76532648,3.0066889632107026e-05
350,367001600,316.466962,5.41408689,3.34113712374582e-05
400,419430400,350.972537,4.58977285,3.675585284280937e-05
450,471859200,385.460187,5.6793622,4.010033444816054e-05
500,524288000,419.960718,4.81482041,4.3444816053511704e-05
550,576716800,503.454055,6.09811582,4.6789297658862885e-05
600,629145600,537.98177,3.32003422,4.995056427307455e-05
650,681574400,572.498357,5.71445856,4.916768634634849e-05
700,734003200,607.016041,4.14541636,4.845371391271287e-05
750,786432000,641.530249,4.62249095,4.779827702913026e-05
800,838860800,676.042264,6.79755176,4.719313155282348e-05
850,891289600,710.535068,3.64878903,4.663162141392431e-05
900,943718400,745.14991,5.25036987,4.610829977304328e-05
950,996147200,779.888499,4.04913503,4.5618656085982576e-05
1000,1048576000,814.588094,4.80198823,4.5158915568657304e-05
1050,1101004800,883.404851,5.78356498,4.472588927057007e-05
1100,1153433600,917.911737,3.8266426,4.4316860230766184e-05
1150,1205862400,952.418686,4.66457099,4.392949581859855e-05
1200,1258291200,986.938962,6.36930278,4.356177938141798e-05
1250,1310720000,1021.452637,3.80630838,4.3211956334309225e-05
1300,1363148800,1055.976382,6.19771363,4.287849119513471e-05
1350,1415577600,1090.501084,3.88889419,4.2560033014512184e-05
1400,1468006400,1125.020027,5.40728212,4.2255387315553166e-05
1450,1520435200,1159.538575,5.91304113,4.196349313267817e-05
1500,1572864000,1194.052305,4.53843958,4.168340408188106e-05
1550,1625292800,1262.96838,3.69648413,4.1414272645952975e-05
1600,1677721600,1297.472295,4.47899556,4.115533704415691e-05
1650,1730150400,1332.005784,5.94516882,4.0905910195053085e-05
1700,1782579200,1366.596491,4.73006135,4.066537038641842e-05
1750,1835008000,1401.178321,4.19480019,4.043315334651026e-05
1800,1887436800,1435.758163,4.60049015,4.020874547273901e-05
1850,1939865600,1470.335531,4.45855628,3.999167802178308e-05
1900,1992294400,1505.043905,3.83433834,3.978152210269021e-05
1950,2044723200,1540.043688,3.9665472,3.957788434405425e-05
2000,2097152000,1574.622642,4.63783365,3.938040312978463e-05
2050,2149580800,1643.510063,4.93036332,3.918874531668454e-05
2100,2202009600,1678.098207,3.80304717,3.900260336206764e-05
2150,2254438400,1712.696971,4.16190584,3.88216928017679e-05
2200,2306867200,1747.290487,4.7518959,3.8645750028742727e-05
2250,2359296000,1781.879559,4.90760119,3.847453033050521e-05
2300,2411724800,1816.459205,3.23877636,3.830780615021282e-05
2350,2464153600,1851.038139,5.06095733,3.814536554167188e-05
2400,2516582400,1885.616855,5.83730269,3.798701079301339e-05
2450,2569011200,1920.18491,4.64022337,3.7832557197534416e-05
2500,2621440000,1954.764277,5.60148361,3.768183195331922e-05
2550,2673868800,2023.550565,3.68248334,3.7534673175869496e-05
2600,2726297600,2058.251129,3.49175683,3.7390929010172473e-05
2650,2778726400,2092.835514,4.36976745,3.7250456830492594e-05
2700,2831155200,2127.412586,3.93880185,3.7113122517745076e-05
2750,2883584000,2162.003123,5.06956645,3.697879980564663e-05
2800,2936012800,2196.584392,3.45896582,3.6847369687978114e-05
2850,2988441600,2231.298201,3.54731431,3.67187198802685e-05
2900,3040870400,2266.298527,4.59398368,3.65927443300456e-05
2950,3093299200,2300.896315,4.55870712,3.6469342770517894e-05
3000,3145728000,2335.49282,4.08874924,3.6348420313171825e-05
3050,3198156800,2404.480629,3.45167994,3.6229887075305486e-05
3100,3250585600,2439.071585,5.22843967,3.611365783898408e-05
3150,3303014400,2473.672611,5.05012114,3.599965173830699e-05
3200,3355443200,2508.27035,5.04503381,3.5887791972227894e-05
3250,3407872000,2542.867145,3.48448531,3.577800554047683e-05
3300,3460300800,2577.472572,4.4732602,3.567022300040206e-05
3350,3512729600,2612.074329,3.68526282,3.556437824278518e-05
3400,3565158400,2646.671167,4.94893005,3.546040828489039e-05
3450,3617587200,2681.263421,4.28622758,3.535825307919108e-05
3500,3670016000,2715.861191,3.06870525,3.525785533637796e-05
3550,3722444800,2784.924829,3.73754734,3.51591603613953e-05
3600,3774873600,2819.524967,4.13609908,3.506211590137762e-05
3650,3827302400,2854.238316,3.92231353,3.4966672004471204e-05
3700,3879731200,2888.830866,3.41071296,3.487278088862399e-05
3750,3932160000,2923.422426,5.15687571,3.478039681951567e-05
3800,3984588800,2958.01918,4.89379548,3.468947599687909e-05
3850,4037017600,2993.023878,4.67842913,3.45999764485338e-05
3900,4089446400,3027.81303,5.85166156,3.451185793151611e-05
3950,4141875200,3062.411218,4.47195332,3.442508183974615e-05
4000,4194304000,3097.016356,5.38856137,3.4339611117723e-05
4050,4246732800,3166.03586,4.85089756,3.4255410179784415e-05
4100,4299161600,3200.632473,4.25360161,3.4172444834508656e-05
4150,4351590400,3235.232018,6.43005021,3.409068221387261e-05
4200,4404019200,3269.824598,3.58512887,3.40100907068136e-05
4250,4456448000,3304.421609,5.09390213,3.3930639896872444e-05
4300,4508876800,3339.026649,5.78524039,3.38523005036222e-05
4350,4561305600,3373.639854,3.62111805,3.377504432761175e-05
4400,4613734400,3408.241309,5.04584043,3.369884419857568e-05
4450,4666163200,3442.83381,4.66328859,3.362367392668175e-05
4500,4718592000,3477.443079,4.32794897,3.354950825660624e-05
4550,4771020800,3546.548263,5.23310739,3.3476322824243414e-05
4600,4823449600,3581.161906,6.3340004,3.340409411587108e-05
4650,4875878400,3615.773151,3.72891994,3.333279942960794e-05
4700,4928307200,3650.501952,4.21105412,3.326241683901076e-05
4750,4980736000,3685.116388,4.96912726,3.319292515867148e-05
4800,5033164800,3719.866128,4.98191869,3.312430391168442e-05
4850,5085593600,3754.951948,5.7855996,3.305653329886373e-05
4900,5138022400,3789.571807,4.52800567,3.2989594169599845e-05
4950,5190451200,3824.191914,6.25870071,3.292346799425212e-05
5000,5242880000,3858.816166,6.57539782,3.285813683798187e-05
5050,5295308800,3927.834741,4.04424214,3.27935833359372e-05
5100,5347737600,3962.45397,4.34625313,3.272979066970717e-05
5150,5400166400,3997.068719,3.50656809,3.2666742544968576e-05
5200,5452595200,4031.687088,4.39523011,3.260442317025411e-05
5250,5505024000,4066.306316,5.68638838,3.254281723677531e-05
5300,5557452800,4100.925773,4.92456659,3.2481909899238586e-05
5350,5609881600,4135.544351,3.98949651,3.242168675759642e-05
5400,5662310400,4170.156728,4.11993224,3.2362133839680054e-05
5450,5714739200,4204.767542,4.36862218,3.230323758466316e-05
5500,5767168000,4239.384079,4.21619892,3.22449848273097e-05
5550,5819596800,4308.418101,4.06040347,3.2187362782962005e-05
5600,5872025600,4343.035647,5.2150007,3.2130359033227796e-05
5650,5924454400,4377.659888,3.99778656,3.2073961512327924e-05
5700,5976883200,4412.27607,4.71996172,3.201815849406861e-05
5750,6029312000,4447.11381,4.53903715,3.196293857940453e-05
5800,6081740800,4482.201926,4.80356839,3.190829068456098e-05
5850,6134169600,4516.81831,4.42100346,3.185420402968549e-05
5900,6186598400,4551.442239,3.83694606,3.1800668128000896e-05
5950,6239027200,4586.064346,3.93100691,3.1747672775433765e-05
6000,6291456000,4620.689241,6.95836931,3.16952080406935e-05
6050,6343884800,4689.946084,3.61099336,3.16432642557789e-05
6100,6396313600,4724.55662,4.60140765,3.1591832006890585e-05
6150,6448742400,4759.163959,4.69881802,3.1540902125728475e-05
6200,6501171200,4793.774385,5.29505904,3.1490465681155365e-05
6250,6553600000,4828.382617,3.27383077,3.1440513971208046e-05
6300,6606028800,4862.987169,5.07016622,3.139103851543911e-05
6350,6658457600,4897.59955,4.74244981,3.134203104757306e-05
