window_ordinal,window_index,chrom,start,end,target_start,target_end,n_fraction,num_alpha_tracks,pearson_raw,pearson_ntv3_scaled_both,pearson_ntv3_target_only,target_raw_mean,alpha_raw_mean,target_ntv3_mean,alpha_ntv3_mean
1,0,chr1,143479625,143512393,143489865,143502153,0.0,1,0.332971138210411,0.3329711388973406,0.3329711386393494,0.15190774202346802,0.003264747327193618,0.209523007273674,0.004502993542701006
2,339,chr2,78315777,78348545,78326017,78338305,0.0,1,0.1128407549186318,0.11284075517670436,0.11284075528419676,0.6172358989715576,0.023260191082954407,0.8513398170471191,0.032082270830869675
3,679,chr2,128686083,128718851,128696323,128708611,0.0,1,0.12878454894338603,0.12878455019857274,0.12878454994084318,0.6613333225250244,0.020427120849490166,0.9121624827384949,0.02817467600107193
4,1019,chr5,19153412,19186180,19163652,19175940,0.0,1,0.22781725097050326,0.22781725060380398,0.2278172504743756,0.5236139893531799,0.018336096778512,0.7222092747688293,0.025290576741099358
5,1358,chr5,30261764,30294532,30272004,30284292,0.0,1,0.08223086669487228,0.08223086676307023,0.08223086675245722,0.7696358561515808,0.026412755250930786,1.0615416765213013,0.03643053397536278
6,1698,chr5,41459155,41491923,41469395,41481683,0.0,1,0.06671460778476979,0.06671460778110144,0.06671460774542612,0.6718740463256836,0.02847335673868656,0.9267010688781738,0.03927267715334892
7,2038,chr6,105239423,105272191,105249663,105261951,0.0,1,0.1250938122061515,0.12552272774883966,0.1255227284090103,1.1337969303131104,0.032829005271196365,1.562677025794983,0.045280322432518005
8,2377,chr6,116347775,116380543,116358015,116370303,0.0,1,0.11209809362105573,0.11209809589853499,0.1120980959021344,0.6521583199501038,0.036273468285799026,0.8995075821876526,0.05003119632601738
9,2717,chr6,127488895,127521663,127499135,127511423,0.0,1,0.07078406351662196,0.07078406393085616,0.07078406416971093,0.7122707366943359,0.026121629402041435,0.9824192523956299,0.03602898493409157
10,3057,chr6,138630015,138662783,138640255,138652543,0.0,1,0.09443516281781042,0.09443516288951084,0.09443516290327914,0.7884300351142883,0.030116064473986626,1.0874642133712769,0.04153842106461525
11,3396,chr6,149738367,149771135,149748607,149760895,0.0,1,0.5103531310592381,0.5153403903276473,0.5096738356322498,0.9319728016853333,0.08133526891469955,1.2578842639923096,0.11186399310827255
12,3736,chr6,160879487,160912255,160889727,160902015,0.0,1,0.14590419707333532,0.14590419732195659,0.14590419730825657,0.7724123597145081,0.03078562580049038,1.0653713941574097,0.042461931705474854
13,4076,chr7,57769412,57802180,57779652,57791940,0.0,1,0.07376441240956084,0.07376441200260224,0.0737644126362643,0.376514196395874,0.010075090453028679,0.5193178057670593,0.01389634981751442
14,4415,chr8,9895561,9928329,9905801,9918089,0.0,1,0.12436203656329416,0.12436203679427536,0.12436203674481629,0.947197437286377,0.03130229935050011,1.3064485788345337,0.04317456856369972
15,4755,chr8,29154858,29187626,29165098,29177386,0.0,1,0.1735473155346846,0.1735473145870553,0.17354731479104302,0.8973637223243713,0.03402202948927879,1.2377139329910278,0.04692583903670311
16,5095,chr8,40295978,40328746,40306218,40318506,0.0,1,0.1032931378133055,0.10329313874897142,0.1032931390884227,0.748097836971283,0.027728645130991936,1.0318347215652466,0.038245510309934616
17,5434,chr9,82259696,82292464,82269936,82282224,0.0,1,0.07876718569470129,0.07876718622674932,0.07876718626344152,0.6892998218536377,0.02735077776014805,0.9507360458374023,0.0377243272960186
18,5774,chr9,93400816,93433584,93411056,93423344,0.0,1,0.1483108853767866,0.1483108857831664,0.14831088549735336,0.7993404269218445,0.026424378156661987,1.1025127172470093,0.03644656762480736
19,6114,chr9,104541936,104574704,104552176,104564464,0.0,1,0.08822893334208379,0.08822893254999645,0.08822893257467465,0.6605504155158997,0.021705249324440956,0.9110825061798096,0.02993757463991642
20,6453,chr9,115650288,115683056,115660528,115672816,0.0,1,0.08361764759754167,0.08361764666275118,0.08361764679608485,0.8439461588859558,0.030206942930817604,1.1640362739562988,0.041663773357868195
21,6793,chr9,126791408,126824176,126801648,126813936,0.0,1,0.4518773148162887,0.45544505411800096,0.4520771811230758,0.9571585655212402,0.0757354274392128,1.3031953573226929,0.1042066216468811
22,7133,chr9,137986624,138019392,137996864,138009152,0.0,1,0.19351854424262022,0.1935185447671417,0.19351854497255583,0.8172993659973145,0.03277572616934776,1.127282977104187,0.04520683363080025
23,7472,chr11,36319650,36352418,36329890,36342178,0.0,1,0.09565838677809206,0.0956583864786342,0.09565838661887217,0.87349534034729,0.03208816424012184,1.204792857170105,0.04425850138068199
24,7812,chr11,47460770,47493538,47471010,47483298,0.0,1,0.17030590101104218,0.17030590097595824,0.17030590109542385,0.9344930648803711,0.0388452373445034,1.2889257669448853,0.05357838794589043
25,8152,chr13,47239666,47272434,47249906,47262194,0.0,1,0.056867107426278575,0.056867107452435485,0.056867107264072105,0.9005391597747803,0.029026200994849205,1.242093801498413,0.040035199373960495
26,8491,chr13,61546118,61578886,61556358,61568646,0.0,1,0.10711440760436403,0.1071144066181288,0.10711440676270027,0.7490925788879395,0.024703368544578552,1.033206820487976,0.034072812646627426
